Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,99.9997
3.3,165.0,99.9543
3.4,170.0,99.8002
3.5,175.0,99.5509
3.6,180.0,99.2238
3.7,185.0,98.8208
3.8,190.0,98.3482
3.9,195.0,97.8166
4.0,200.0,97.242
4.1,205.0,96.6336
4.2,210.0,95.9981
4.3,215.0,95.3454
4.4,220.0,94.676
4.5,225.0,93.9956
4.6,230.0,93.3097
4.7,235.0,92.6229
4.8,240.0,91.9386
4.9,245.0,91.2588
5.0,250.0,90.5925
5.1,255.0,89.9439
5.2,260.0,89.309
5.3,265.0,88.6899
5.4,270.0,88.085
5.5,275.0,87.4792
5.6,280.0,86.8604
5.7,285.0,86.2264
5.8,290.0,85.5642
5.9,295.0,84.8747
6.0,300.0,84.1727
6.1,305.0,83.4506
6.2,310.0,82.7201
6.3,315.0,81.9806
6.4,320.0,81.2303
6.5,325.0,80.4758
6.6,330.0,79.7198
6.7,335.0,78.967
6.8,340.0,78.2105
6.9,345.0,77.4553
7.0,350.0,76.7007
7.1,355.0,75.9469
7.2,360.0,75.1975
7.3,365.0,74.4576
7.4,370.0,73.7279
7.5,375.0,73.0073
7.6,380.0,72.2936
7.7,385.0,71.5964
7.8,390.0,70.9041
7.9,395.0,70.2293
8.0,400.0,69.5664
8.1,405.0,68.9176
8.2,410.0,68.2886
8.3,415.0,67.674
8.4,420.0,67.0756
8.5,425.0,66.4912
8.6,430.0,65.9253
8.7,435.0,65.368
8.8,440.0,64.8256
8.9,445.0,64.2947
9.0,450.0,63.7772
9.1,455.0,63.2744
9.2,460.0,62.7854
9.3,465.0,62.3085
9.4,470.0,61.8488
9.5,475.0,61.3998
9.6,480.0,60.9688
9.7,485.0,60.5504
9.8,490.0,60.1388
9.9,495.0,59.7412
10.0,500.0,59.3511
10.1,505.0,58.9713
10.2,510.0,58.5989
10.3,515.0,58.2296
10.4,520.0,57.8753
10.5,525.0,57.5202
10.6,530.0,57.1784
10.7,535.0,56.8356
10.8,540.0,56.5064
10.9,545.0,56.1832
11.0,550.0,55.8622
11.1,555.0,55.5549
11.2,560.0,55.2433
11.3,565.0,54.9481
11.4,570.0,54.6588
11.5,575.0,54.3716
11.6,580.0,54.0945
11.7,585.0,53.8232
11.8,590.0,53.5547
11.9,595.0,53.296
12.0,600.0,53.0401
12.1,605.0,52.7958
12.2,610.0,52.5531
12.3,615.0,52.3158
12.4,620.0,52.0838
12.5,625.0,51.8635
12.6,630.0,51.6442
12.7,635.0,51.4304
12.8,640.0,51.2198
12.9,645.0,51.0137
13.0,650.0,50.8121
13.1,655.0,50.6151
13.2,660.0,50.418
13.3,665.0,50.2279
13.4,670.0,50.0391
13.5,675.0,49.8485
13.6,680.0,49.6644
13.7,685.0,49.4807
13.8,690.0,49.3033
13.9,695.0,49.1239
14.0,700.0,48.9485
14.1,705.0,48.7783
14.2,710.0,48.6117
14.3,715.0,48.4369
14.4,720.0,48.2671
14.5,725.0,48.1046
14.6,730.0,47.9417
14.7,735.0,47.7755
14.8,740.0,47.6192
14.9,745.0,47.462
15.0,750.0,47.3012
15.1,755.0,47.146
15.2,760.0,46.9943
15.3,765.0,46.8448
15.4,770.0,46.6975
15.5,775.0,46.5455
15.6,780.0,46.3986
15.7,785.0,46.252
15.8,790.0,46.1134
15.9,795.0,45.9745
16.0,800.0,45.8313
16.1,805.0,45.6909
16.2,810.0,45.5552
16.3,815.0,45.4209
16.4,820.0,45.2891
16.5,825.0,45.1587
16.6,830.0,45.0281
16.7,835.0,44.8996
16.8,840.0,44.7723
16.9,845.0,44.6464
17.0,850.0,44.5223
17.1,855.0,44.3982
17.2,860.0,44.279
17.3,865.0,44.16
17.4,870.0,44.0405
17.5,875.0,43.9205
17.6,880.0,43.8068
17.7,885.0,43.6951
17.8,890.0,43.5834
17.9,895.0,43.4715
18.0,900.0,43.3631
18.1,905.0,43.2566
18.2,910.0,43.1531
18.3,915.0,43.0508
18.4,920.0,42.9498
18.5,925.0,42.8523
18.6,930.0,42.756
18.7,935.0,42.6609
18.8,940.0,42.5669
18.9,945.0,42.4743
19.0,950.0,42.3838
19.1,955.0,42.2945
19.2,960.0,42.2054
19.3,965.0,42.1188
19.4,970.0,42.0339
19.5,975.0,41.9501
19.6,980.0,41.8678
19.7,985.0,41.7868
19.8,990.0,41.707
19.9,995.0,41.6282
20.0,1000.0,41.5509
20.1,1005.0,41.4749
20.2,1010.0,41.4006
20.3,1015.0,41.3269
20.4,1020.0,41.2544
20.5,1025.0,41.1843
20.6,1030.0,41.1159
20.7,1035.0,41.0483
20.8,1040.0,40.9819
20.9,1045.0,40.9167
21.0,1050.0,40.8528
21.1,1055.0,40.7902
21.2,1060.0,40.7281
21.3,1065.0,40.6632
21.4,1070.0,40.5991
21.5,1075.0,40.531
21.6,1080.0,40.4624
21.7,1085.0,40.3954
21.8,1090.0,40.3248
21.9,1095.0,40.2558
22.0,1100.0,40.1872
22.1,1105.0,40.118
22.2,1110.0,40.0469
22.3,1115.0,39.9773
22.4,1120.0,39.9087
22.5,1125.0,39.8438
22.6,1130.0,39.7786
22.7,1135.0,39.7128
22.8,1140.0,39.647
