Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,100.0
5.3,265.0,100.0
5.4,270.0,100.0
5.5,275.0,100.0
5.6,280.0,100.0
5.7,285.0,100.0
5.8,290.0,100.0
5.9,295.0,100.0
6.0,300.0,100.0
6.1,305.0,100.0
6.2,310.0,100.0
6.3,315.0,100.0
6.4,320.0,100.0
6.5,325.0,100.0
6.6,330.0,100.0
6.7,335.0,99.9993
6.8,340.0,99.9805
6.9,345.0,99.9318
7.0,350.0,99.8446
7.1,355.0,99.7104
7.2,360.0,99.5149
7.3,365.0,99.2615
7.4,370.0,98.9715
7.5,375.0,98.6496
7.6,380.0,98.2914
7.7,385.0,97.9027
7.8,390.0,97.4922
7.9,395.0,97.0719
8.0,400.0,96.6472
8.1,405.0,96.2226
8.2,410.0,95.7935
8.3,415.0,95.3671
8.4,420.0,94.9479
8.5,425.0,94.5427
8.6,430.0,94.1449
8.7,435.0,93.7636
8.8,440.0,93.3926
8.9,445.0,93.037
9.0,450.0,92.692
9.1,455.0,92.3565
9.2,460.0,92.0408
9.3,465.0,91.7306
9.4,470.0,91.4329
9.5,475.0,91.1387
9.6,480.0,90.8576
9.7,485.0,90.5832
9.8,490.0,90.3188
9.9,495.0,90.0645
10.0,500.0,89.8104
10.1,505.0,89.5629
10.2,510.0,89.3185
10.3,515.0,89.0687
10.4,520.0,88.8199
10.5,525.0,88.5784
10.6,530.0,88.3292
10.7,535.0,88.0829
10.8,540.0,87.832
10.9,545.0,87.5773
11.0,550.0,87.3202
11.1,555.0,87.0596
11.2,560.0,86.7921
11.3,565.0,86.5192
11.4,570.0,86.2402
11.5,575.0,85.9571
11.6,580.0,85.6607
11.7,585.0,85.3485
11.8,590.0,85.0216
11.9,595.0,84.6944
12.0,600.0,84.355
12.1,605.0,83.9951
12.2,610.0,83.6202
12.3,615.0,83.2183
12.4,620.0,82.7843
12.5,625.0,82.3271
12.6,630.0,81.8608
12.7,635.0,81.3514
12.8,640.0,80.8254
12.9,645.0,80.2774
13.0,650.0,79.6848
13.1,655.0,79.0896
13.2,660.0,78.4871
13.3,665.0,77.8622
13.4,670.0,77.2296
13.5,675.0,76.5878
13.6,680.0,75.9548
13.7,685.0,75.323
13.8,690.0,74.7193
13.9,695.0,74.1219
14.0,700.0,73.529
14.1,705.0,72.9578
14.2,710.0,72.4084
14.3,715.0,71.8835
14.4,720.0,71.3656
14.5,725.0,70.8605
14.6,730.0,70.3821
14.7,735.0,69.9243
14.8,740.0,69.476
14.9,745.0,69.0448
15.0,750.0,68.6281
15.1,755.0,68.2223
15.2,760.0,67.8263
15.3,765.0,67.4475
15.4,770.0,67.0807
15.5,775.0,66.7113
15.6,780.0,66.3532
15.7,785.0,66.0076
15.8,790.0,65.6716
15.9,795.0,65.3377
16.0,800.0,65.0048
16.1,805.0,64.6874
16.2,810.0,64.3686
16.3,815.0,64.0656
16.4,820.0,63.7587
16.5,825.0,63.4636
16.6,830.0,63.1751
16.7,835.0,62.8917
16.8,840.0,62.6179
16.9,845.0,62.3446
17.0,850.0,62.0806
17.1,855.0,61.821
17.2,860.0,61.5646
17.3,865.0,61.3209
17.4,870.0,61.0708
17.5,875.0,60.8235
17.6,880.0,60.5748
17.7,885.0,60.3338
17.8,890.0,60.0928
17.9,895.0,59.8568
18.0,900.0,59.6217
18.1,905.0,59.3849
18.2,910.0,59.1536
18.3,915.0,58.9227
18.4,920.0,58.6988
18.5,925.0,58.4714
18.6,930.0,58.2453
18.7,935.0,58.0218
18.8,940.0,57.7981
18.9,945.0,57.5781
19.0,950.0,57.3582
19.1,955.0,57.1419
19.2,960.0,56.9198
19.3,965.0,56.7009
19.4,970.0,56.4849
19.5,975.0,56.2711
19.6,980.0,56.0489
19.7,985.0,55.8249
19.8,990.0,55.61
19.9,995.0,55.3929
20.0,1000.0,55.1755
20.1,1005.0,54.9511
20.2,1010.0,54.73
20.3,1015.0,54.5196
20.4,1020.0,54.3042
20.5,1025.0,54.0827
20.6,1030.0,53.8686
20.7,1035.0,53.6527
20.8,1040.0,53.4358
20.9,1045.0,53.2226
21.0,1050.0,53.0074
21.1,1055.0,52.7978
21.2,1060.0,52.5881
21.3,1065.0,52.3843
21.4,1070.0,52.1832
21.5,1075.0,51.9869
21.6,1080.0,51.7848
21.7,1085.0,51.5773
21.8,1090.0,51.3761
21.9,1095.0,51.1776
22.0,1100.0,50.9833
22.1,1105.0,50.7871
22.2,1110.0,50.5924
22.3,1115.0,50.3996
22.4,1120.0,50.2104
22.5,1125.0,50.0236
22.6,1130.0,49.8402
22.7,1135.0,49.6585
22.8,1140.0,49.4765
22.9,1145.0,49.2983
23.0,1150.0,49.1247
