Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,99.9814
3.6,180.0,99.8446
3.7,185.0,99.5994
3.8,190.0,99.2773
3.9,195.0,98.9016
4.0,200.0,98.4817
4.1,205.0,98.0274
4.2,210.0,97.553
4.3,215.0,97.0702
4.4,220.0,96.5886
4.5,225.0,96.1162
4.6,230.0,95.6598
4.7,235.0,95.2183
4.8,240.0,94.7946
4.9,245.0,94.3898
5.0,250.0,94.0047
5.1,255.0,93.6364
5.2,260.0,93.2858
5.3,265.0,92.9538
5.4,270.0,92.6392
5.5,275.0,92.3388
5.6,280.0,92.0506
5.7,285.0,91.7672
5.8,290.0,91.4839
5.9,295.0,91.1955
6.0,300.0,90.8948
6.1,305.0,90.5756
6.2,310.0,90.2322
6.3,315.0,89.8569
6.4,320.0,89.4418
6.5,325.0,88.9839
6.6,330.0,88.4774
6.7,335.0,87.9277
6.8,340.0,87.3388
6.9,345.0,86.7099
7.0,350.0,86.049
7.1,355.0,85.3672
7.2,360.0,84.6685
7.3,365.0,83.9579
7.4,370.0,83.2423
7.5,375.0,82.528
7.6,380.0,81.8134
7.7,385.0,81.1023
7.8,390.0,80.3997
7.9,395.0,79.7089
8.0,400.0,79.0296
8.1,405.0,78.3635
8.2,410.0,77.7128
8.3,415.0,77.0804
8.4,420.0,76.467
8.5,425.0,75.8703
8.6,430.0,75.2891
8.7,435.0,74.7209
8.8,440.0,74.1521
8.9,445.0,73.5967
9.0,450.0,73.0627
9.1,455.0,72.5503
9.2,460.0,72.057
9.3,465.0,71.5835
9.4,470.0,71.1295
9.5,475.0,70.6914
9.6,480.0,70.265
9.7,485.0,69.8507
9.8,490.0,69.4462
9.9,495.0,69.0527
10.0,500.0,68.6706
10.1,505.0,68.2999
10.2,510.0,67.9424
10.3,515.0,67.5955
10.4,520.0,67.2596
10.5,525.0,66.9364
10.6,530.0,66.6239
10.7,535.0,66.3221
10.8,540.0,66.0336
10.9,545.0,65.7548
11.0,550.0,65.4883
11.1,555.0,65.2336
11.2,560.0,64.9847
11.3,565.0,64.7429
11.4,570.0,64.5122
11.5,575.0,64.2904
11.6,580.0,64.0781
11.7,585.0,63.8752
11.8,590.0,63.6808
11.9,595.0,63.4897
12.0,600.0,63.3089
12.1,605.0,63.135
12.2,610.0,62.968
12.3,615.0,62.8026
12.4,620.0,62.641
12.5,625.0,62.4927
12.6,630.0,62.3428
12.7,635.0,62.1984
12.8,640.0,62.0614
12.9,645.0,61.9234
13.0,650.0,61.7923
13.1,655.0,61.6694
13.2,660.0,61.5426
13.3,665.0,61.4293
13.4,670.0,61.3149
13.5,675.0,61.2001
13.6,680.0,61.0944
13.7,685.0,60.9931
13.8,690.0,60.8933
13.9,695.0,60.7982
14.0,700.0,60.6978
14.1,705.0,60.6048
14.2,710.0,60.5205
14.3,715.0,60.438
14.4,720.0,60.355
14.5,725.0,60.2716
14.6,730.0,60.1911
14.7,735.0,60.1154
14.8,740.0,60.0414
14.9,745.0,59.9686
15.0,750.0,59.8994
15.1,755.0,59.8267
15.2,760.0,59.7545
15.3,765.0,59.6865
15.4,770.0,59.6206
15.5,775.0,59.5559
15.6,780.0,59.4925
15.7,785.0,59.4295
15.8,790.0,59.3697
15.9,795.0,59.3106
16.0,800.0,59.2502
16.1,805.0,59.1895
16.2,810.0,59.1321
16.3,815.0,59.0745
16.4,820.0,59.0186
16.5,825.0,58.964
16.6,830.0,58.91
16.7,835.0,58.8552
16.8,840.0,58.8004
16.9,845.0,58.742
17.0,850.0,58.6845
17.1,855.0,58.6292
17.2,860.0,58.5738
17.3,865.0,58.5207
17.4,870.0,58.4702
17.5,875.0,58.4183
17.6,880.0,58.3658
17.7,885.0,58.3124
17.8,890.0,58.2624
17.9,895.0,58.2108
18.0,900.0,58.1613
18.1,905.0,58.1117
18.2,910.0,58.0638
18.3,915.0,58.0144
18.4,920.0,57.9648
18.5,925.0,57.9151
18.6,930.0,57.8684
18.7,935.0,57.8225
18.8,940.0,57.7755
18.9,945.0,57.7297
19.0,950.0,57.683
19.1,955.0,57.6336
19.2,960.0,57.5867
19.3,965.0,57.541
19.4,970.0,57.4961
19.5,975.0,57.4506
19.6,980.0,57.4023
19.7,985.0,57.3567
19.8,990.0,57.3113
19.9,995.0,57.2645
20.0,1000.0,57.2189
20.1,1005.0,57.174
20.2,1010.0,57.1305
20.3,1015.0,57.0864
20.4,1020.0,57.0422
20.5,1025.0,56.9981
20.6,1030.0,56.954
20.7,1035.0,56.9056
20.8,1040.0,56.8615
20.9,1045.0,56.8188
21.0,1050.0,56.7763
21.1,1055.0,56.732
21.2,1060.0,56.6895
21.3,1065.0,56.6454
21.4,1070.0,56.6022
21.5,1075.0,56.5592
21.6,1080.0,56.5161
21.7,1085.0,56.4728
21.8,1090.0,56.4279
21.9,1095.0,56.3836
22.0,1100.0,56.3409
22.1,1105.0,56.2995
22.2,1110.0,56.2576
22.3,1115.0,56.2154
22.4,1120.0,56.1732
22.5,1125.0,56.1312
22.6,1130.0,56.0886
22.7,1135.0,56.0437
22.8,1140.0,55.9996
