Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,100.0
5.3,265.0,100.0
5.4,270.0,99.9987
5.5,275.0,99.9814
5.6,280.0,99.9338
5.7,285.0,99.8498
5.8,290.0,99.7217
5.9,295.0,99.5398
6.0,300.0,99.2915
6.1,305.0,98.9722
6.2,310.0,98.5703
6.3,315.0,98.0851
6.4,320.0,97.5312
6.5,325.0,96.8853
6.6,330.0,96.1049
6.7,335.0,95.2344
6.8,340.0,94.2967
6.9,345.0,93.3046
7.0,350.0,92.2668
7.1,355.0,91.1898
7.2,360.0,90.0839
7.3,365.0,88.9616
7.4,370.0,87.8373
7.5,375.0,86.7153
7.6,380.0,85.6004
7.7,385.0,84.4995
7.8,390.0,83.4149
7.9,395.0,82.3519
8.0,400.0,81.3118
8.1,405.0,80.2982
8.2,410.0,79.3115
8.3,415.0,78.3543
8.4,420.0,77.4254
8.5,425.0,76.522
8.6,430.0,75.6473
8.7,435.0,74.8011
8.8,440.0,73.9846
8.9,445.0,73.2027
9.0,450.0,72.4504
9.1,455.0,71.7299
9.2,460.0,71.0449
9.3,465.0,70.4005
9.4,470.0,69.7954
9.5,475.0,69.2281
9.6,480.0,68.6939
9.7,485.0,68.194
9.8,490.0,67.7259
9.9,495.0,67.2885
10.0,500.0,66.8852
10.1,505.0,66.5105
10.2,510.0,66.1607
10.3,515.0,65.8319
10.4,520.0,65.5224
10.5,525.0,65.2319
10.6,530.0,64.9593
10.7,535.0,64.7024
10.8,540.0,64.4621
10.9,545.0,64.2361
11.0,550.0,64.0235
11.1,555.0,63.823
11.2,560.0,63.6344
11.3,565.0,63.4576
11.4,570.0,63.2905
11.5,575.0,63.1332
11.6,580.0,62.9849
11.7,585.0,62.8447
11.8,590.0,62.7106
11.9,595.0,62.5835
12.0,600.0,62.4627
12.1,605.0,62.3477
12.2,610.0,62.2375
12.3,615.0,62.1319
12.4,620.0,62.031
12.5,625.0,61.934
12.6,630.0,61.8403
12.7,635.0,61.7494
12.8,640.0,61.6613
12.9,645.0,61.5755
13.0,650.0,61.4923
13.1,655.0,61.4118
13.2,660.0,61.3338
13.3,665.0,61.2576
13.4,670.0,61.1825
13.5,675.0,61.1089
13.6,680.0,61.0373
13.7,685.0,60.9667
13.8,690.0,60.8976
13.9,695.0,60.8299
14.0,700.0,60.7631
14.1,705.0,60.697
14.2,710.0,60.6314
14.3,715.0,60.5665
14.4,720.0,60.5025
14.5,725.0,60.4399
14.6,730.0,60.3784
14.7,735.0,60.3177
14.8,740.0,60.2573
14.9,745.0,60.1966
15.0,750.0,60.1363
15.1,755.0,60.0755
15.2,760.0,60.0152
15.3,765.0,59.9554
15.4,770.0,59.895
15.5,775.0,59.8343
15.6,780.0,59.7744
15.7,785.0,59.7144
15.8,790.0,59.6543
15.9,795.0,59.5944
16.0,800.0,59.5348
16.1,805.0,59.4758
16.2,810.0,59.4162
16.3,815.0,59.3573
16.4,820.0,59.2988
16.5,825.0,59.2418
16.6,830.0,59.1844
16.7,835.0,59.1272
16.8,840.0,59.0684
16.9,845.0,59.0108
17.0,850.0,58.953
17.1,855.0,58.8963
17.2,860.0,58.8381
17.3,865.0,58.7807
17.4,870.0,58.723
17.5,875.0,58.666
17.6,880.0,58.6075
17.7,885.0,58.5491
17.8,890.0,58.4925
17.9,895.0,58.436
18.0,900.0,58.3776
18.1,905.0,58.3188
18.2,910.0,58.2622
18.3,915.0,58.2046
18.4,920.0,58.1441
18.5,925.0,58.0866
18.6,930.0,58.0294
18.7,935.0,57.9728
18.8,940.0,57.9123
18.9,945.0,57.8541
19.0,950.0,57.796
19.1,955.0,57.7363
19.2,960.0,57.6782
19.3,965.0,57.6188
19.4,970.0,57.5584
19.5,975.0,57.4985
19.6,980.0,57.4418
19.7,985.0,57.3824
19.8,990.0,57.3192
19.9,995.0,57.2578
20.0,1000.0,57.1984
20.1,1005.0,57.1356
20.2,1010.0,57.0787
20.3,1015.0,57.0183
20.4,1020.0,56.9525
20.5,1025.0,56.8883
20.6,1030.0,56.8257
20.7,1035.0,56.7623
20.8,1040.0,56.7019
20.9,1045.0,56.6367
21.0,1050.0,56.5723
21.1,1055.0,56.5083
21.2,1060.0,56.4431
21.3,1065.0,56.3753
21.4,1070.0,56.3068
21.5,1075.0,56.241
21.6,1080.0,56.1764
21.7,1085.0,56.1129
21.8,1090.0,56.0416
21.9,1095.0,55.9706
22.0,1100.0,55.9023
22.1,1105.0,55.8344
22.2,1110.0,55.7617
22.3,1115.0,55.6881
22.4,1120.0,55.6159
22.5,1125.0,55.5451
22.6,1130.0,55.4701
22.7,1135.0,55.3934
22.8,1140.0,55.3183
22.9,1145.0,55.2443
