Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,99.9896
4.0,200.0,99.91
4.1,205.0,99.759
4.2,210.0,99.5537
4.3,215.0,99.3024
4.4,220.0,99.0079
4.5,225.0,98.676
4.6,230.0,98.3082
4.7,235.0,97.9128
4.8,240.0,97.4978
4.9,245.0,97.0688
5.0,250.0,96.6273
5.1,255.0,96.1782
5.2,260.0,95.7262
5.3,265.0,95.2691
5.4,270.0,94.8096
5.5,275.0,94.3501
5.6,280.0,93.8937
5.7,285.0,93.436
5.8,290.0,92.9835
5.9,295.0,92.5346
6.0,300.0,92.1059
6.1,305.0,91.6822
6.2,310.0,91.2726
6.3,315.0,90.8701
6.4,320.0,90.4807
6.5,325.0,90.0957
6.6,330.0,89.7206
6.7,335.0,89.3483
6.8,340.0,88.9844
6.9,345.0,88.6302
7.0,350.0,88.2845
7.1,355.0,87.9479
7.2,360.0,87.6227
7.3,365.0,87.3014
7.4,370.0,86.9928
7.5,375.0,86.6817
7.6,380.0,86.379
7.7,385.0,86.0884
7.8,390.0,85.79
7.9,395.0,85.5012
8.0,400.0,85.2173
8.1,405.0,84.9415
8.2,410.0,84.6644
8.3,415.0,84.3933
8.4,420.0,84.1256
8.5,425.0,83.8722
8.6,430.0,83.6037
8.7,435.0,83.3471
8.8,440.0,83.0928
8.9,445.0,82.8337
9.0,450.0,82.5898
9.1,455.0,82.3281
9.2,460.0,82.0747
9.3,465.0,81.8279
9.4,470.0,81.5703
9.5,475.0,81.3008
9.6,480.0,81.0218
9.7,485.0,80.7327
9.8,490.0,80.426
9.9,495.0,80.094
10.0,500.0,79.734
10.1,505.0,79.3669
10.2,510.0,78.9736
10.3,515.0,78.5697
10.4,520.0,78.1575
10.5,525.0,77.7267
10.6,530.0,77.2801
10.7,535.0,76.8109
10.8,540.0,76.3317
10.9,545.0,75.8399
11.0,550.0,75.3481
11.1,555.0,74.8378
11.2,560.0,74.3315
11.3,565.0,73.8229
11.4,570.0,73.3004
11.5,575.0,72.7794
11.6,580.0,72.2579
11.7,585.0,71.7355
11.8,590.0,71.2145
11.9,595.0,70.6971
12.0,600.0,70.1819
12.1,605.0,69.675
12.2,610.0,69.1787
12.3,615.0,68.6818
12.4,620.0,68.2045
12.5,625.0,67.726
12.6,630.0,67.2465
12.7,635.0,66.781
12.8,640.0,66.3188
12.9,645.0,65.8661
13.0,650.0,65.4133
13.1,655.0,64.9759
13.2,660.0,64.5343
13.3,665.0,64.1175
13.4,670.0,63.7
13.5,675.0,63.29
13.6,680.0,62.8929
13.7,685.0,62.5102
13.8,690.0,62.1327
13.9,695.0,61.7605
14.0,700.0,61.3931
14.1,705.0,61.0465
14.2,710.0,60.7012
14.3,715.0,60.3679
14.4,720.0,60.0421
14.5,725.0,59.7231
14.6,730.0,59.4069
14.7,735.0,59.1083
14.8,740.0,58.8171
14.9,745.0,58.5285
15.0,750.0,58.2497
15.1,755.0,57.9812
15.2,760.0,57.7224
15.3,765.0,57.4686
15.4,770.0,57.2222
15.5,775.0,56.9801
15.6,780.0,56.746
15.7,785.0,56.523
15.8,790.0,56.3058
15.9,795.0,56.0922
16.0,800.0,55.8854
16.1,805.0,55.6832
16.2,810.0,55.48
16.3,815.0,55.2813
16.4,820.0,55.0925
16.5,825.0,54.9056
16.6,830.0,54.7208
16.7,835.0,54.5409
16.8,840.0,54.364
16.9,845.0,54.1863
17.0,850.0,54.0141
17.1,855.0,53.8443
17.2,860.0,53.6757
17.3,865.0,53.5112
17.4,870.0,53.346
17.5,875.0,53.1859
17.6,880.0,53.0291
17.7,885.0,52.8734
17.8,890.0,52.7166
17.9,895.0,52.5619
18.0,900.0,52.4128
18.1,905.0,52.2624
18.2,910.0,52.1151
18.3,915.0,51.9694
18.4,920.0,51.8255
18.5,925.0,51.68
18.6,930.0,51.5394
18.7,935.0,51.4
18.8,940.0,51.2618
18.9,945.0,51.1227
19.0,950.0,50.9877
19.1,955.0,50.8499
19.2,960.0,50.7167
19.3,965.0,50.5822
19.4,970.0,50.4514
19.5,975.0,50.3208
19.6,980.0,50.1899
19.7,985.0,50.0593
19.8,990.0,49.9312
19.9,995.0,49.806
20.0,1000.0,49.684
20.1,1005.0,49.5614
20.2,1010.0,49.4381
20.3,1015.0,49.3198
20.4,1020.0,49.2014
20.5,1025.0,49.0793
20.6,1030.0,48.9669
20.7,1035.0,48.854
20.8,1040.0,48.7446
20.9,1045.0,48.6315
21.0,1050.0,48.5178
21.1,1055.0,48.4122
21.2,1060.0,48.3054
21.3,1065.0,48.1957
21.4,1070.0,48.0898
21.5,1075.0,47.9849
21.6,1080.0,47.8821
21.7,1085.0,47.783
21.8,1090.0,47.6859
21.9,1095.0,47.5905
22.0,1100.0,47.4959
22.1,1105.0,47.4048
22.2,1110.0,47.3146
22.3,1115.0,47.2279
22.4,1120.0,47.1424
22.5,1125.0,47.0579
22.6,1130.0,46.9771
22.7,1135.0,46.8988
22.8,1140.0,46.8221
22.9,1145.0,46.7471
