Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,100.0
5.3,265.0,100.0
5.4,270.0,100.0
5.5,275.0,99.9886
5.6,280.0,99.9564
5.7,285.0,99.9096
5.8,290.0,99.8546
5.9,295.0,99.7932
6.0,300.0,99.7263
6.1,305.0,99.6551
6.2,310.0,99.5803
6.3,315.0,99.5037
6.4,320.0,99.4261
6.5,325.0,99.3483
6.6,330.0,99.2703
6.7,335.0,99.1933
6.8,340.0,99.1179
6.9,345.0,99.0456
7.0,350.0,98.9769
7.1,355.0,98.9108
7.2,360.0,98.8473
7.3,365.0,98.7862
7.4,370.0,98.7283
7.5,375.0,98.6728
7.6,380.0,98.6202
7.7,385.0,98.5699
7.8,390.0,98.5218
7.9,395.0,98.4756
8.0,400.0,98.4309
8.1,405.0,98.3875
8.2,410.0,98.345
8.3,415.0,98.3035
8.4,420.0,98.2629
8.5,425.0,98.2232
8.6,430.0,98.1842
8.7,435.0,98.1462
8.8,440.0,98.109
8.9,445.0,98.0724
9.0,450.0,98.0368
9.1,455.0,98.0017
9.2,460.0,97.9672
9.3,465.0,97.9335
9.4,470.0,97.9002
9.5,475.0,97.8675
9.6,480.0,97.8354
9.7,485.0,97.804
9.8,490.0,97.7732
9.9,495.0,97.743
10.0,500.0,97.7133
10.1,505.0,97.6844
10.2,510.0,97.6563
10.3,515.0,97.6296
10.4,520.0,97.6039
10.5,525.0,97.5792
10.6,530.0,97.555
10.7,535.0,97.5314
10.8,540.0,97.5083
10.9,545.0,97.4857
11.0,550.0,97.4636
11.1,555.0,97.442
11.2,560.0,97.4208
11.3,565.0,97.4001
11.4,570.0,97.3799
11.5,575.0,97.3602
11.6,580.0,97.3407
11.7,585.0,97.3215
11.8,590.0,97.303
11.9,595.0,97.2848
12.0,600.0,97.2672
12.1,605.0,97.2501
12.2,610.0,97.2333
12.3,615.0,97.2169
12.4,620.0,97.2008
12.5,625.0,97.1851
12.6,630.0,97.1697
12.7,635.0,97.1546
12.8,640.0,97.1398
12.9,645.0,97.1252
13.0,650.0,97.111
13.1,655.0,97.0969
13.2,660.0,97.0832
13.3,665.0,97.0696
13.4,670.0,97.0562
13.5,675.0,97.0432
13.6,680.0,97.0304
13.7,685.0,97.0178
13.8,690.0,97.0055
13.9,695.0,96.9933
14.0,700.0,96.9813
14.1,705.0,96.9695
14.2,710.0,96.9579
14.3,715.0,96.9462
14.4,720.0,96.9349
14.5,725.0,96.9237
14.6,730.0,96.9126
14.7,735.0,96.9017
14.8,740.0,96.8909
14.9,745.0,96.8802
15.0,750.0,96.8695
15.1,755.0,96.8589
15.2,760.0,96.8483
15.3,765.0,96.8378
15.4,770.0,96.8273
15.5,775.0,96.8168
15.6,780.0,96.8064
15.7,785.0,96.796
15.8,790.0,96.7856
15.9,795.0,96.7753
16.0,800.0,96.765
16.1,805.0,96.7547
16.2,810.0,96.7445
16.3,815.0,96.7343
16.4,820.0,96.7241
16.5,825.0,96.7139
16.6,830.0,96.7038
16.7,835.0,96.6938
16.8,840.0,96.6837
16.9,845.0,96.6738
17.0,850.0,96.6638
17.1,855.0,96.6538
17.2,860.0,96.6438
17.3,865.0,96.6339
17.4,870.0,96.6239
17.5,875.0,96.614
17.6,880.0,96.6041
17.7,885.0,96.5942
17.8,890.0,96.5844
17.9,895.0,96.5746
18.0,900.0,96.5648
18.1,905.0,96.5551
18.2,910.0,96.5454
18.3,915.0,96.5357
18.4,920.0,96.5261
18.5,925.0,96.5165
18.6,930.0,96.5069
18.7,935.0,96.4973
18.8,940.0,96.4877
18.9,945.0,96.4782
19.0,950.0,96.4687
19.1,955.0,96.4592
19.2,960.0,96.4497
19.3,965.0,96.4403
19.4,970.0,96.4309
19.5,975.0,96.4215
19.6,980.0,96.4121
19.7,985.0,96.4027
19.8,990.0,96.3934
19.9,995.0,96.384
20.0,1000.0,96.3747
20.1,1005.0,96.3654
20.2,1010.0,96.3561
20.3,1015.0,96.3469
20.4,1020.0,96.3376
20.5,1025.0,96.3284
20.6,1030.0,96.3191
20.7,1035.0,96.3099
20.8,1040.0,96.3008
20.9,1045.0,96.2916
21.0,1050.0,96.2824
21.1,1055.0,96.2732
21.2,1060.0,96.2641
21.3,1065.0,96.2549
21.4,1070.0,96.2458
21.5,1075.0,96.2366
21.6,1080.0,96.2275
21.7,1085.0,96.2184
21.8,1090.0,96.2093
21.9,1095.0,96.2001
22.0,1100.0,96.191
22.1,1105.0,96.1818
22.2,1110.0,96.1727
22.3,1115.0,96.1635
22.4,1120.0,96.1544
22.5,1125.0,96.1452
22.6,1130.0,96.1361
22.7,1135.0,96.127
22.8,1140.0,96.1178
22.9,1145.0,96.1086
