Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,99.9934
4.0,200.0,99.943
4.1,205.0,99.8378
4.2,210.0,99.6775
4.3,215.0,99.4673
4.4,220.0,99.212
4.5,225.0,98.9182
4.6,230.0,98.5926
4.7,235.0,98.2388
4.8,240.0,97.8609
4.9,245.0,97.4645
5.0,250.0,97.0595
5.1,255.0,96.6481
5.2,260.0,96.2351
5.3,265.0,95.8226
5.4,270.0,95.4112
5.5,275.0,95.0045
5.6,280.0,94.6093
5.7,285.0,94.2287
5.8,290.0,93.863
5.9,295.0,93.5115
6.0,300.0,93.1744
6.1,305.0,92.8579
6.2,310.0,92.5589
6.3,315.0,92.2741
6.4,320.0,92.0079
6.5,325.0,91.7551
6.6,330.0,91.5164
6.7,335.0,91.2911
6.8,340.0,91.0772
6.9,345.0,90.8763
7.0,350.0,90.6875
7.1,355.0,90.5094
7.2,360.0,90.3406
7.3,365.0,90.1794
7.4,370.0,90.0277
7.5,375.0,89.8818
7.6,380.0,89.7415
7.7,385.0,89.6067
7.8,390.0,89.4775
7.9,395.0,89.351
8.0,400.0,89.2279
8.1,405.0,89.1069
8.2,410.0,88.9858
8.3,415.0,88.8648
8.4,420.0,88.745
8.5,425.0,88.6235
8.6,430.0,88.5008
8.7,435.0,88.3776
8.8,440.0,88.2525
8.9,445.0,88.1268
9.0,450.0,88.0002
9.1,455.0,87.8726
9.2,460.0,87.7451
9.3,465.0,87.6167
9.4,470.0,87.4879
9.5,475.0,87.3588
9.6,480.0,87.2288
9.7,485.0,87.0981
9.8,490.0,86.9679
9.9,495.0,86.8383
10.0,500.0,86.7101
10.1,505.0,86.583
10.2,510.0,86.4572
10.3,515.0,86.3332
10.4,520.0,86.2103
10.5,525.0,86.0891
10.6,530.0,85.9469
10.7,535.0,85.7816
10.8,540.0,85.602
10.9,545.0,85.4092
11.0,550.0,85.2106
11.1,555.0,85.0093
11.2,560.0,84.8013
11.3,565.0,84.5885
11.4,570.0,84.3688
11.5,575.0,84.1486
11.6,580.0,83.9188
11.7,585.0,83.6888
11.8,590.0,83.4534
11.9,595.0,83.2126
12.0,600.0,82.9686
12.1,605.0,82.7116
12.2,610.0,82.4587
12.3,615.0,82.2039
12.4,620.0,81.9483
12.5,625.0,81.6852
12.6,630.0,81.4093
12.7,635.0,81.1319
12.8,640.0,80.8527
12.9,645.0,80.5726
13.0,650.0,80.2833
13.1,655.0,79.9836
13.2,660.0,79.6857
13.3,665.0,79.3913
13.4,670.0,79.0929
13.5,675.0,78.7886
13.6,680.0,78.4798
13.7,685.0,78.1775
13.8,690.0,77.8673
13.9,695.0,77.5598
14.0,700.0,77.2639
14.1,705.0,76.9622
14.2,710.0,76.6639
14.3,715.0,76.3735
14.4,720.0,76.0754
14.5,725.0,75.7857
14.6,730.0,75.4893
14.7,735.0,75.1883
14.8,740.0,74.8864
14.9,745.0,74.5783
15.0,750.0,74.2864
15.1,755.0,73.9808
15.2,760.0,73.6848
15.3,765.0,73.3868
15.4,770.0,73.0806
15.5,775.0,72.7852
15.6,780.0,72.4746
15.7,785.0,72.1701
15.8,790.0,71.8541
15.9,795.0,71.5395
16.0,800.0,71.2157
16.1,805.0,70.8945
16.2,810.0,70.5655
16.3,815.0,70.2426
16.4,820.0,69.9094
16.5,825.0,69.5841
16.6,830.0,69.2577
16.7,835.0,68.9381
16.8,840.0,68.6194
16.9,845.0,68.3096
17.0,850.0,67.998
17.1,855.0,67.6934
17.2,860.0,67.3848
17.3,865.0,67.0781
17.4,870.0,66.7761
17.5,875.0,66.4784
17.6,880.0,66.186
17.7,885.0,65.8929
17.8,890.0,65.6067
17.9,895.0,65.3181
18.0,900.0,65.0368
18.1,905.0,64.7591
18.2,910.0,64.4873
18.3,915.0,64.2189
18.4,920.0,63.9511
18.5,925.0,63.6899
18.6,930.0,63.4296
18.7,935.0,63.1672
18.8,940.0,62.909
18.9,945.0,62.6498
19.0,950.0,62.3942
19.1,955.0,62.1476
19.2,960.0,61.898
19.3,965.0,61.6487
19.4,970.0,61.4063
19.5,975.0,61.1639
19.6,980.0,60.9198
19.7,985.0,60.6831
19.8,990.0,60.4447
19.9,995.0,60.2087
20.0,1000.0,59.9728
20.1,1005.0,59.7348
20.2,1010.0,59.4969
20.3,1015.0,59.2611
20.4,1020.0,59.0275
20.5,1025.0,58.7937
20.6,1030.0,58.5575
20.7,1035.0,58.3249
20.8,1040.0,58.0928
20.9,1045.0,57.8607
21.0,1050.0,57.63
21.1,1055.0,57.3968
21.2,1060.0,57.1619
21.3,1065.0,56.929
21.4,1070.0,56.7016
21.5,1075.0,56.4721
21.6,1080.0,56.2448
21.7,1085.0,56.0166
21.8,1090.0,55.7912
21.9,1095.0,55.5638
22.0,1100.0,55.3359
22.1,1105.0,55.1129
22.2,1110.0,54.8903
22.3,1115.0,54.6649
22.4,1120.0,54.4417
22.5,1125.0,54.2176
22.6,1130.0,53.996
22.7,1135.0,53.7729
22.8,1140.0,53.5482
