Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,99.9897
3.6,180.0,99.8666
3.7,185.0,99.6295
3.8,190.0,99.3125
3.9,195.0,98.9388
4.0,200.0,98.5196
4.1,205.0,98.0639
4.2,210.0,97.5896
4.3,215.0,97.1062
4.4,220.0,96.6236
4.5,225.0,96.1495
4.6,230.0,95.6911
4.7,235.0,95.2482
4.8,240.0,94.8234
4.9,245.0,94.417
5.0,250.0,94.0309
5.1,255.0,93.663
5.2,260.0,93.3129
5.3,265.0,92.9805
5.4,270.0,92.6643
5.5,275.0,92.3618
5.6,280.0,92.0729
5.7,285.0,91.7883
5.8,290.0,91.5034
5.9,295.0,91.212
6.0,300.0,90.9072
6.1,305.0,90.583
6.2,310.0,90.2323
6.3,315.0,89.8452
6.4,320.0,89.4154
6.5,325.0,88.9378
6.6,330.0,88.4117
6.7,335.0,87.8409
6.8,340.0,87.2235
6.9,345.0,86.562
7.0,350.0,85.8678
7.1,355.0,85.1462
7.2,360.0,84.4004
7.3,365.0,83.6354
7.4,370.0,82.8625
7.5,375.0,82.0816
7.6,380.0,81.3004
7.7,385.0,80.5242
7.8,390.0,79.7556
7.9,395.0,78.9957
8.0,400.0,78.2476
8.1,405.0,77.513
8.2,410.0,76.7929
8.3,415.0,76.0898
8.4,420.0,75.4029
8.5,425.0,74.7358
8.6,430.0,74.0876
8.7,435.0,73.448
8.8,440.0,72.8237
8.9,445.0,72.2217
9.0,450.0,71.643
9.1,455.0,71.0862
9.2,460.0,70.552
9.3,465.0,70.0398
9.4,470.0,69.5465
9.5,475.0,69.0704
9.6,480.0,68.6098
9.7,485.0,68.1647
9.8,490.0,67.7352
9.9,495.0,67.3213
10.0,500.0,66.9225
10.1,505.0,66.5388
10.2,510.0,66.1705
10.3,515.0,65.8163
10.4,520.0,65.4771
10.5,525.0,65.1493
10.6,530.0,64.8344
10.7,535.0,64.5299
10.8,540.0,64.2385
10.9,545.0,63.9593
11.0,550.0,63.6916
11.1,555.0,63.4416
11.2,560.0,63.1937
11.3,565.0,62.9608
11.4,570.0,62.7368
11.5,575.0,62.5212
11.6,580.0,62.3199
11.7,585.0,62.126
11.8,590.0,61.936
11.9,595.0,61.7657
12.0,600.0,61.595
12.1,605.0,61.4313
12.2,610.0,61.2788
12.3,615.0,61.1288
12.4,620.0,60.9874
12.5,625.0,60.8553
12.6,630.0,60.7203
12.7,635.0,60.5969
12.8,640.0,60.4832
12.9,645.0,60.3723
13.0,650.0,60.2613
13.1,655.0,60.1556
13.2,660.0,60.0502
13.3,665.0,59.9493
13.4,670.0,59.8513
13.5,675.0,59.7544
13.6,680.0,59.6654
13.7,685.0,59.5763
13.8,690.0,59.4862
13.9,695.0,59.4012
14.0,700.0,59.3152
14.1,705.0,59.2313
14.2,710.0,59.1484
14.3,715.0,59.0669
14.4,720.0,58.988
14.5,725.0,58.9144
14.6,730.0,58.8409
14.7,735.0,58.7687
14.8,740.0,58.6971
14.9,745.0,58.624
15.0,750.0,58.5552
15.1,755.0,58.4879
15.2,760.0,58.4224
15.3,765.0,58.3571
15.4,770.0,58.2927
15.5,775.0,58.2238
15.6,780.0,58.1579
15.7,785.0,58.0941
15.8,790.0,58.0346
15.9,795.0,57.975
16.0,800.0,57.9148
16.1,805.0,57.8512
16.2,810.0,57.7906
16.3,815.0,57.7323
16.4,820.0,57.6758
16.5,825.0,57.6165
16.6,830.0,57.5561
16.7,835.0,57.5008
16.8,840.0,57.4475
16.9,845.0,57.3896
17.0,850.0,57.3352
17.1,855.0,57.2806
17.2,860.0,57.224
17.3,865.0,57.1706
17.4,870.0,57.1169
17.5,875.0,57.0622
17.6,880.0,57.0106
17.7,885.0,56.9591
17.8,890.0,56.9062
17.9,895.0,56.8542
18.0,900.0,56.8016
18.1,905.0,56.7508
18.2,910.0,56.698
18.3,915.0,56.6458
18.4,920.0,56.5964
18.5,925.0,56.5433
18.6,930.0,56.4926
18.7,935.0,56.445
18.8,940.0,56.3959
18.9,945.0,56.3478
19.0,950.0,56.3003
19.1,955.0,56.2489
19.2,960.0,56.1983
19.3,965.0,56.15
19.4,970.0,56.102
19.5,975.0,56.0531
19.6,980.0,56.0052
19.7,985.0,55.9566
19.8,990.0,55.9056
19.9,995.0,55.8553
20.0,1000.0,55.8055
20.1,1005.0,55.7583
20.2,1010.0,55.7099
20.3,1015.0,55.6614
20.4,1020.0,55.6135
20.5,1025.0,55.5627
20.6,1030.0,55.5135
20.7,1035.0,55.4657
20.8,1040.0,55.418
20.9,1045.0,55.3701
21.0,1050.0,55.3224
21.1,1055.0,55.2732
21.2,1060.0,55.2256
21.3,1065.0,55.1772
21.4,1070.0,55.128
21.5,1075.0,55.0793
21.6,1080.0,55.0323
21.7,1085.0,54.9838
21.8,1090.0,54.9347
21.9,1095.0,54.8837
22.0,1100.0,54.8313
22.1,1105.0,54.7803
22.2,1110.0,54.7309
22.3,1115.0,54.682
22.4,1120.0,54.6324
22.5,1125.0,54.5824
22.6,1130.0,54.533
22.7,1135.0,54.4837
22.8,1140.0,54.4332
22.9,1145.0,54.3815
