Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,100.0
5.3,265.0,100.0
5.4,270.0,100.0
5.5,275.0,100.0
5.6,280.0,100.0
5.7,285.0,100.0
5.8,290.0,100.0
5.9,295.0,100.0
6.0,300.0,100.0
6.1,305.0,100.0
6.2,310.0,100.0
6.3,315.0,100.0
6.4,320.0,99.9987
6.5,325.0,99.9738
6.6,330.0,99.9007
6.7,335.0,99.7386
6.8,340.0,99.4247
6.9,345.0,98.9839
7.0,350.0,98.4495
7.1,355.0,97.8315
7.2,360.0,97.1325
7.3,365.0,96.357
7.4,370.0,95.5126
7.5,375.0,94.6177
7.6,380.0,93.6655
7.7,385.0,92.6716
7.8,390.0,91.6474
7.9,395.0,90.5931
8.0,400.0,89.5174
8.1,405.0,88.4382
8.2,410.0,87.3562
8.3,415.0,86.271
8.4,420.0,85.1976
8.5,425.0,84.1331
8.6,430.0,83.0748
8.7,435.0,82.0375
8.8,440.0,81.023
8.9,445.0,80.0172
9.0,450.0,79.0331
9.1,455.0,78.076
9.2,460.0,77.1361
9.3,465.0,76.2183
9.4,470.0,75.325
9.5,475.0,74.4502
9.6,480.0,73.5985
9.7,485.0,72.7717
9.8,490.0,71.9648
9.9,495.0,71.173
10.0,500.0,70.4057
10.1,505.0,69.6578
10.2,510.0,68.9229
10.3,515.0,68.2158
10.4,520.0,67.5168
10.5,525.0,66.8497
10.6,530.0,66.1877
10.7,535.0,65.5339
10.8,540.0,64.909
10.9,545.0,64.2784
11.0,550.0,63.6723
11.1,555.0,63.0704
11.2,560.0,62.4654
11.3,565.0,61.8596
11.4,570.0,61.2591
11.5,575.0,60.6442
11.6,580.0,59.9593
11.7,585.0,59.2456
11.8,590.0,58.4989
11.9,595.0,57.7571
12.0,600.0,57.017
12.1,605.0,56.301
12.2,610.0,55.5936
12.3,615.0,54.9042
12.4,620.0,54.2348
12.5,625.0,53.5888
12.6,630.0,52.9599
12.7,635.0,52.3619
12.8,640.0,51.7858
12.9,645.0,51.256
13.0,650.0,50.7524
13.1,655.0,50.3012
13.2,660.0,49.8742
13.3,665.0,49.479
13.4,670.0,49.1254
13.5,675.0,48.7924
13.6,680.0,48.4887
13.7,685.0,48.2042
13.8,690.0,47.9433
13.9,695.0,47.6801
14.0,700.0,47.4474
14.1,705.0,47.2208
14.2,710.0,46.9987
14.3,715.0,46.7938
14.4,720.0,46.5937
14.5,725.0,46.4007
14.6,730.0,46.2047
14.7,735.0,46.0224
14.8,740.0,45.84
14.9,745.0,45.6623
15.0,750.0,45.4875
15.1,755.0,45.3112
15.2,760.0,45.134
15.3,765.0,44.9652
15.4,770.0,44.803
15.5,775.0,44.6332
15.6,780.0,44.4749
15.7,785.0,44.3129
15.8,790.0,44.1613
15.9,795.0,44.0024
16.0,800.0,43.8555
16.1,805.0,43.7027
16.2,810.0,43.5577
16.3,815.0,43.405
16.4,820.0,43.2525
16.5,825.0,43.108
16.6,830.0,42.9597
16.7,835.0,42.8132
16.8,840.0,42.6645
16.9,845.0,42.5216
17.0,850.0,42.3722
17.1,855.0,42.2275
17.2,860.0,42.0904
17.3,865.0,41.945
17.4,870.0,41.8042
17.5,875.0,41.66
17.6,880.0,41.5144
17.7,885.0,41.3769
17.8,890.0,41.2393
17.9,895.0,41.0929
18.0,900.0,40.9571
18.1,905.0,40.8222
18.2,910.0,40.6754
18.3,915.0,40.5447
18.4,920.0,40.41
18.5,925.0,40.2685
18.6,930.0,40.1363
18.7,935.0,40.0102
18.8,940.0,39.8776
18.9,945.0,39.7496
19.0,950.0,39.6189
19.1,955.0,39.4831
19.2,960.0,39.3563
19.3,965.0,39.2325
19.4,970.0,39.1028
19.5,975.0,38.9845
19.6,980.0,38.8572
19.7,985.0,38.7272
19.8,990.0,38.6063
19.9,995.0,38.4769
20.0,1000.0,38.3525
20.1,1005.0,38.234
20.2,1010.0,38.1095
20.3,1015.0,37.9917
20.4,1020.0,37.8681
20.5,1025.0,37.7409
20.6,1030.0,37.626
20.7,1035.0,37.5023
20.8,1040.0,37.3789
20.9,1045.0,37.2629
21.0,1050.0,37.1391
21.1,1055.0,37.022
21.2,1060.0,36.905
21.3,1065.0,36.7834
21.4,1070.0,36.6671
21.5,1075.0,36.5425
21.6,1080.0,36.4199
21.7,1085.0,36.2962
21.8,1090.0,36.1813
21.9,1095.0,36.0657
22.0,1100.0,35.9454
22.1,1105.0,35.8299
22.2,1110.0,35.7089
22.3,1115.0,35.5876
22.4,1120.0,35.4686
22.5,1125.0,35.347
22.6,1130.0,35.2314
22.7,1135.0,35.112
22.8,1140.0,34.9927
22.9,1145.0,34.8714
23.0,1150.0,34.7515
23.1,1155.0,34.6283
