Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
24.4,1220.0,46.2884
24.5,1225.0,46.2497
24.6,1230.0,46.2116
24.7,1235.0,46.1739
24.8,1240.0,46.1366
24.9,1245.0,46.0996
25.0,1250.0,46.0632
25.1,1255.0,46.0271
25.2,1260.0,45.9914
25.3,1265.0,45.9561
25.4,1270.0,45.921
25.5,1275.0,45.8863
25.6,1280.0,45.8517
25.7,1285.0,45.8173
25.8,1290.0,45.7833
25.9,1295.0,45.7497
26.0,1300.0,45.7163
26.1,1305.0,45.6831
26.2,1310.0,45.65
26.3,1315.0,45.6171
26.4,1320.0,45.5842
26.5,1325.0,45.5513
26.6,1330.0,45.5186
26.7,1335.0,45.486
26.8,1340.0,45.4536
26.9,1345.0,45.4212
27.0,1350.0,45.3888
27.1,1355.0,45.3565
27.2,1360.0,45.3243
27.3,1365.0,45.2921
27.4,1370.0,45.2599
27.5,1375.0,45.2278
27.6,1380.0,45.1956
27.7,1385.0,45.1635
27.8,1390.0,45.1314
27.9,1395.0,45.0995
28.0,1400.0,45.0677
28.1,1405.0,45.0358
28.2,1410.0,45.0039
28.3,1415.0,44.9721
28.4,1420.0,44.9403
28.5,1425.0,44.9085
28.6,1430.0,44.8768
28.7,1435.0,44.845
28.8,1440.0,44.8133
28.9,1445.0,44.7816
29.0,1450.0,44.75
29.1,1455.0,44.7183
29.2,1460.0,44.6866
29.3,1465.0,44.6549
29.4,1470.0,44.6233
29.5,1475.0,44.5917
29.6,1480.0,44.5601
29.7,1485.0,44.5284
29.8,1490.0,44.4967
29.9,1495.0,44.4651
30.0,1500.0,44.4334
30.1,1505.0,44.4017
30.2,1510.0,44.3698
30.3,1515.0,44.338
30.4,1520.0,44.3062
30.5,1525.0,44.2744
30.6,1530.0,44.2426
30.7,1535.0,44.2108
30.8,1540.0,44.179
30.9,1545.0,44.1472
31.0,1550.0,44.1155
31.1,1555.0,44.0836
31.2,1560.0,44.0518
31.3,1565.0,44.02
31.4,1570.0,43.9881
31.5,1575.0,43.9561
31.6,1580.0,43.924
31.7,1585.0,43.892
31.8,1590.0,43.86
31.9,1595.0,43.828
32.0,1600.0,43.796
32.1,1605.0,43.764
32.2,1610.0,43.7319
32.3,1615.0,43.6997
32.4,1620.0,43.6675
32.5,1625.0,43.6352
32.6,1630.0,43.6029
32.7,1635.0,43.5705
32.8,1640.0,43.538
32.9,1645.0,43.5055
33.0,1650.0,43.473
33.1,1655.0,43.4404
33.2,1660.0,43.4079
33.3,1665.0,43.3752
33.4,1670.0,43.3425
33.5,1675.0,43.3097
33.6,1680.0,43.2768
33.7,1685.0,43.2436
33.8,1690.0,43.2102
33.9,1695.0,43.1767
34.0,1700.0,43.1431
34.1,1705.0,43.1088
34.2,1710.0,43.0742
34.3,1715.0,43.0378
34.4,1720.0,43.0001
34.5,1725.0,42.9592
34.6,1730.0,42.9146
34.7,1735.0,42.8661
34.8,1740.0,42.8137
34.9,1745.0,42.7563
35.0,1750.0,42.6919
35.1,1755.0,42.6153
35.2,1760.0,42.5392
35.3,1765.0,42.4647
35.4,1770.0,42.3894
35.5,1775.0,42.3156
35.6,1780.0,42.2418
35.7,1785.0,42.1649
35.8,1790.0,42.0904
35.9,1795.0,42.0156
36.0,1800.0,41.9419
36.1,1805.0,41.8639
36.2,1810.0,41.791
36.3,1815.0,41.7183
36.4,1820.0,41.6423
36.5,1825.0,41.5664
36.6,1830.0,41.4911
36.7,1835.0,41.4173
36.8,1840.0,41.3439
36.9,1845.0,41.2699
37.0,1850.0,41.1934
37.1,1855.0,41.117
37.2,1860.0,41.0419
37.3,1865.0,40.9664
37.4,1870.0,40.8913
37.5,1875.0,40.8163
37.6,1880.0,40.7408
37.7,1885.0,40.6649
37.8,1890.0,40.5895
37.9,1895.0,40.514
38.0,1900.0,40.4394
38.1,1905.0,40.3655
38.2,1910.0,40.2911
38.3,1915.0,40.2167
38.4,1920.0,40.1411
38.5,1925.0,40.0676
38.6,1930.0,39.9944
38.7,1935.0,39.9219
38.8,1940.0,39.8493
38.9,1945.0,39.7747
39.0,1950.0,39.7004
39.1,1955.0,39.6273
39.2,1960.0,39.5544
39.3,1965.0,39.4819
39.4,1970.0,39.4088
39.5,1975.0,39.3353
39.6,1980.0,39.2618
39.7,1985.0,39.1883
39.8,1990.0,39.1157
39.9,1995.0,39.0427
40.0,2000.0,38.9689
40.1,2005.0,38.8949
40.2,2010.0,38.8216
40.3,2015.0,38.7482
40.4,2020.0,38.6747
40.5,2025.0,38.6015
40.6,2030.0,38.5281
40.7,2035.0,38.4533
40.8,2040.0,38.3788
40.9,2045.0,38.3051
41.0,2050.0,38.2313
41.1,2055.0,38.1574
41.2,2060.0,38.0834
41.3,2065.0,38.0086
41.4,2070.0,37.9335
41.5,2075.0,37.8585
41.6,2080.0,37.7833
41.7,2085.0,37.7077
41.8,2090.0,37.6319
41.9,2095.0,37.556
42.0,2100.0,37.4802
42.1,2105.0,37.4044
42.2,2110.0,37.3285
42.3,2115.0,37.2521
42.4,2120.0,37.1756
42.5,2125.0,37.0979
42.6,2130.0,37.0189
42.7,2135.0,36.9404
42.8,2140.0,36.8616
42.9,2145.0,36.7826
43.0,2150.0,36.7033
43.1,2155.0,36.624
43.2,2160.0,36.5446
43.3,2165.0,36.4651
43.4,2170.0,36.3848
43.5,2175.0,36.3031
43.6,2180.0,36.2201
43.7,2185.0,36.1384
43.8,2190.0,36.0573
43.9,2195.0,35.9749
44.0,2200.0,35.8925
44.1,2205.0,35.8105
44.2,2210.0,35.7285
44.3,2215.0,35.6456
44.4,2220.0,35.5612
44.5,2225.0,35.4757
44.6,2230.0,35.3882
44.7,2235.0,35.302
44.8,2240.0,35.2158
44.9,2245.0,35.1297
45.0,2250.0,35.0441
45.1,2255.0,34.9569
45.2,2260.0,34.871
45.3,2265.0,34.7848
45.4,2270.0,34.6978
45.5,2275.0,34.6096
45.6,2280.0,34.519
45.7,2285.0,34.43
45.8,2290.0,34.3398
45.9,2295.0,34.2496
46.0,2300.0,34.16
46.1,2305.0,34.0692
46.2,2310.0,33.976
46.3,2315.0,33.8851
46.4,2320.0,33.794
46.5,2325.0,33.7012
46.6,2330.0,33.6072
46.7,2335.0,33.5119
46.8,2340.0,33.4148
46.9,2345.0,33.318
47.0,2350.0,33.223
47.1,2355.0,33.1263
47.2,2360.0,33.0293
47.3,2365.0,32.9318
47.4,2370.0,32.8332
47.5,2375.0,32.7365
47.6,2380.0,32.6364
47.7,2385.0,32.5322
47.8,2390.0,32.4327
47.9,2395.0,32.3345
48.0,2400.0,32.2317
48.1,2405.0,32.1287
48.2,2410.0,32.0249
48.3,2415.0,31.9191
48.4,2420.0,31.8109
48.5,2425.0,31.7
48.6,2430.0,31.5891
48.7,2435.0,31.479
48.8,2440.0,31.3688
48.9,2445.0,31.2575
49.0,2450.0,31.1419
49.1,2455.0,31.0274
49.2,2460.0,30.9123
49.3,2465.0,30.7961
49.4,2470.0,30.6778
49.5,2475.0,30.5571
49.6,2480.0,30.4351
49.7,2485.0,30.3114
49.8,2490.0,30.1872
49.9,2495.0,30.0644
50.0,2500.0,29.9416
50.1,2505.0,29.816
50.2,2510.0,29.69
50.3,2515.0,29.5597
