Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,100.0
5.3,265.0,100.0
5.4,270.0,100.0
5.5,275.0,100.0
5.6,280.0,100.0
5.7,285.0,100.0
5.8,290.0,100.0
5.9,295.0,100.0
6.0,300.0,100.0
6.1,305.0,100.0
6.2,310.0,100.0
6.3,315.0,100.0
6.4,320.0,100.0
6.5,325.0,100.0
6.6,330.0,100.0
6.7,335.0,99.9946
6.8,340.0,99.9617
6.9,345.0,99.8907
7.0,350.0,99.7624
7.1,355.0,99.5438
7.2,360.0,99.2532
7.3,365.0,98.8928
7.4,370.0,98.4721
7.5,375.0,97.9932
7.6,380.0,97.4633
7.7,385.0,96.8748
7.8,390.0,96.2438
7.9,395.0,95.5822
8.0,400.0,94.8916
8.1,405.0,94.1852
8.2,410.0,93.4672
8.3,415.0,92.7467
8.4,420.0,92.0353
8.5,425.0,91.3234
8.6,430.0,90.6209
8.7,435.0,89.9404
8.8,440.0,89.2624
8.9,445.0,88.6055
9.0,450.0,87.9578
9.1,455.0,87.3261
9.2,460.0,86.7069
9.3,465.0,86.0898
9.4,470.0,85.4855
9.5,475.0,84.8967
9.6,480.0,84.3179
9.7,485.0,83.7525
9.8,490.0,83.1913
9.9,495.0,82.641
10.0,500.0,82.0948
10.1,505.0,81.5635
10.2,510.0,81.0393
10.3,515.0,80.5182
10.4,520.0,80.0063
10.5,525.0,79.4969
10.6,530.0,78.9926
10.7,535.0,78.4944
10.8,540.0,77.99
10.9,545.0,77.5005
11.0,550.0,77.0074
11.1,555.0,76.5237
11.2,560.0,76.0433
11.3,565.0,75.5663
11.4,570.0,75.0941
11.5,575.0,74.6233
11.6,580.0,74.1576
11.7,585.0,73.6922
11.8,590.0,73.22
11.9,595.0,72.7554
12.0,600.0,72.2855
12.1,605.0,71.8257
12.2,610.0,71.3512
12.3,615.0,70.8687
12.4,620.0,70.3809
12.5,625.0,69.8842
12.6,630.0,69.368
12.7,635.0,68.8225
12.8,640.0,68.2451
12.9,645.0,67.6429
13.0,650.0,67.0049
13.1,655.0,66.3421
13.2,660.0,65.6737
13.3,665.0,65.0269
13.4,670.0,64.3756
13.5,675.0,63.7629
13.6,680.0,63.158
13.7,685.0,62.5635
13.8,690.0,61.9934
13.9,695.0,61.4264
14.0,700.0,60.8926
14.1,705.0,60.3872
14.2,710.0,59.9051
14.3,715.0,59.4548
14.4,720.0,59.0272
14.5,725.0,58.6211
14.6,730.0,58.2341
14.7,735.0,57.8766
14.8,740.0,57.5341
14.9,745.0,57.205
15.0,750.0,56.9068
15.1,755.0,56.6189
15.2,760.0,56.3428
15.3,765.0,56.0897
15.4,770.0,55.8356
15.5,775.0,55.5995
15.6,780.0,55.3716
15.7,785.0,55.156
15.8,790.0,54.9441
15.9,795.0,54.7292
16.0,800.0,54.5375
16.1,805.0,54.3483
16.2,810.0,54.1548
16.3,815.0,53.9679
16.4,820.0,53.7844
16.5,825.0,53.601
16.6,830.0,53.4203
16.7,835.0,53.2458
16.8,840.0,53.0686
16.9,845.0,52.8987
17.0,850.0,52.7286
17.1,855.0,52.5517
17.2,860.0,52.3834
17.3,865.0,52.2131
17.4,870.0,52.0452
17.5,875.0,51.8861
17.6,880.0,51.7255
17.7,885.0,51.5495
17.8,890.0,51.3905
17.9,895.0,51.2316
18.0,900.0,51.0741
18.1,905.0,50.9143
18.2,910.0,50.7569
18.3,915.0,50.6031
18.4,920.0,50.4402
18.5,925.0,50.2893
18.6,930.0,50.1365
18.7,935.0,49.9869
18.8,940.0,49.8369
18.9,945.0,49.6882
19.0,950.0,49.5392
19.1,955.0,49.3915
19.2,960.0,49.2492
19.3,965.0,49.1088
19.4,970.0,48.9691
19.5,975.0,48.8296
19.6,980.0,48.6909
19.7,985.0,48.5529
19.8,990.0,48.4152
19.9,995.0,48.2777
20.0,1000.0,48.1388
20.1,1005.0,48.0031
20.2,1010.0,47.8672
20.3,1015.0,47.7339
20.4,1020.0,47.5996
20.5,1025.0,47.4651
20.6,1030.0,47.3318
20.7,1035.0,47.1934
20.8,1040.0,47.0564
20.9,1045.0,46.9248
21.0,1050.0,46.792
21.1,1055.0,46.6598
21.2,1060.0,46.5298
21.3,1065.0,46.399
21.4,1070.0,46.2714
21.5,1075.0,46.1422
21.6,1080.0,46.0093
21.7,1085.0,45.8789
21.8,1090.0,45.7476
21.9,1095.0,45.6159
22.0,1100.0,45.4895
22.1,1105.0,45.3652
22.2,1110.0,45.2405
22.3,1115.0,45.1171
22.4,1120.0,44.9911
22.5,1125.0,44.8617
22.6,1130.0,44.7354
22.7,1135.0,44.6094
22.8,1140.0,44.4866
22.9,1145.0,44.3606
23.0,1150.0,44.2396
