Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,99.9927
5.3,265.0,99.9575
5.4,270.0,99.8833
5.5,275.0,99.7577
5.6,280.0,99.5723
5.7,285.0,99.3055
5.8,290.0,98.9428
5.9,295.0,98.4724
6.0,300.0,97.8992
6.1,305.0,97.224
6.2,310.0,96.3769
6.3,315.0,95.3929
6.4,320.0,94.295
6.5,325.0,93.1123
6.6,330.0,91.8589
6.7,335.0,90.5399
6.8,340.0,89.1624
6.9,345.0,87.7371
7.0,350.0,86.2837
7.1,355.0,84.823
7.2,360.0,83.3665
7.3,365.0,81.916
7.4,370.0,80.4752
7.5,375.0,79.0546
7.6,380.0,77.6591
7.7,385.0,76.2953
7.8,390.0,74.9656
7.9,395.0,73.6697
8.0,400.0,72.4068
8.1,405.0,71.176
8.2,410.0,69.9808
8.3,415.0,68.8209
8.4,420.0,67.6976
8.5,425.0,66.6164
8.6,430.0,65.5788
8.7,435.0,64.5847
8.8,440.0,63.6343
8.9,445.0,62.7293
9.0,450.0,61.8675
9.1,455.0,61.0456
9.2,460.0,60.2607
9.3,465.0,59.5135
9.4,470.0,58.8004
9.5,475.0,58.1222
9.6,480.0,57.4836
9.7,485.0,56.879
9.8,490.0,56.3042
9.9,495.0,55.7569
10.0,500.0,55.2334
10.1,505.0,54.7312
10.2,510.0,54.2493
10.3,515.0,53.7883
10.4,520.0,53.3485
10.5,525.0,52.9264
10.6,530.0,52.5236
10.7,535.0,52.1389
10.8,540.0,51.7707
10.9,545.0,51.4185
11.0,550.0,51.0825
11.1,555.0,50.7606
11.2,560.0,50.45
11.3,565.0,50.1484
11.4,570.0,49.8562
11.5,575.0,49.573
11.6,580.0,49.2985
11.7,585.0,49.0323
11.8,590.0,48.7767
11.9,595.0,48.5228
12.0,600.0,48.2787
12.1,605.0,48.0421
12.2,610.0,47.8098
12.3,615.0,47.5801
12.4,620.0,47.3562
12.5,625.0,47.138
12.6,630.0,46.9219
12.7,635.0,46.71
12.8,640.0,46.5027
12.9,645.0,46.2989
13.0,650.0,46.0991
13.1,655.0,45.9012
13.2,660.0,45.7064
13.3,665.0,45.5129
13.4,670.0,45.3254
13.5,675.0,45.1421
13.6,680.0,44.9559
13.7,685.0,44.7746
13.8,690.0,44.5955
13.9,695.0,44.422
14.0,700.0,44.2454
14.1,705.0,44.0724
14.2,710.0,43.9032
14.3,715.0,43.7363
14.4,720.0,43.569
14.5,725.0,43.4016
14.6,730.0,43.2421
14.7,735.0,43.082
14.8,740.0,42.923
14.9,745.0,42.7668
15.0,750.0,42.6114
15.1,755.0,42.4573
15.2,760.0,42.3072
15.3,765.0,42.1594
15.4,770.0,42.0154
15.5,775.0,41.8719
15.6,780.0,41.726
15.7,785.0,41.5852
15.8,790.0,41.4474
15.9,795.0,41.3106
16.0,800.0,41.1779
16.1,805.0,41.0469
16.2,810.0,40.9171
16.3,815.0,40.7887
16.4,820.0,40.6602
16.5,825.0,40.5345
16.6,830.0,40.4112
16.7,835.0,40.2891
16.8,840.0,40.1679
16.9,845.0,40.0493
17.0,850.0,39.933
17.1,855.0,39.8175
17.2,860.0,39.7041
17.3,865.0,39.591
17.4,870.0,39.4801
17.5,875.0,39.3688
17.6,880.0,39.2593
17.7,885.0,39.1507
17.8,890.0,39.0442
17.9,895.0,38.9389
18.0,900.0,38.8356
18.1,905.0,38.732
18.2,910.0,38.6312
18.3,915.0,38.531
18.4,920.0,38.4317
18.5,925.0,38.3337
18.6,930.0,38.2343
18.7,935.0,38.1352
18.8,940.0,38.0384
18.9,945.0,37.942
19.0,950.0,37.8478
19.1,955.0,37.7553
19.2,960.0,37.6624
19.3,965.0,37.569
19.4,970.0,37.4761
19.5,975.0,37.3843
19.6,980.0,37.2941
19.7,985.0,37.2033
19.8,990.0,37.1139
19.9,995.0,37.0251
20.0,1000.0,36.935
20.1,1005.0,36.8455
20.2,1010.0,36.757
20.3,1015.0,36.6707
20.4,1020.0,36.5853
20.5,1025.0,36.5007
20.6,1030.0,36.4167
20.7,1035.0,36.3312
20.8,1040.0,36.2473
20.9,1045.0,36.1651
21.0,1050.0,36.084
21.1,1055.0,35.9997
21.2,1060.0,35.9179
21.3,1065.0,35.835
21.4,1070.0,35.7542
21.5,1075.0,35.6749
21.6,1080.0,35.5958
21.7,1085.0,35.5182
21.8,1090.0,35.442
21.9,1095.0,35.3672
22.0,1100.0,35.2931
22.1,1105.0,35.2194
22.2,1110.0,35.1461
22.3,1115.0,35.0699
22.4,1120.0,34.9917
22.5,1125.0,34.9151
22.6,1130.0,34.8418
22.7,1135.0,34.7698
22.8,1140.0,34.6993
22.9,1145.0,34.6303
23.0,1150.0,34.5624
