Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,100.0
5.3,265.0,100.0
5.4,270.0,100.0
5.5,275.0,99.9928
5.6,280.0,99.9611
5.7,285.0,99.8955
5.8,290.0,99.7873
5.9,295.0,99.6318
6.0,300.0,99.412
6.1,305.0,99.1228
6.2,310.0,98.7523
6.3,315.0,98.2954
6.4,320.0,97.76
6.5,325.0,97.1501
6.6,330.0,96.4055
6.7,335.0,95.5512
6.8,340.0,94.6136
6.9,345.0,93.6137
7.0,350.0,92.562
7.1,355.0,91.4645
7.2,360.0,90.329
7.3,365.0,89.1668
7.4,370.0,87.9929
7.5,375.0,86.8175
7.6,380.0,85.6481
7.7,385.0,84.4825
7.8,390.0,83.3271
7.9,395.0,82.1859
8.0,400.0,81.0627
8.1,405.0,79.9668
8.2,410.0,78.8956
8.3,415.0,77.8561
8.4,420.0,76.8467
8.5,425.0,75.8694
8.6,430.0,74.9205
8.7,435.0,74.0008
8.8,440.0,73.111
8.9,445.0,72.2513
9.0,450.0,71.4234
9.1,455.0,70.6267
9.2,460.0,69.8647
9.3,465.0,69.1385
9.4,470.0,68.4526
9.5,475.0,67.8037
9.6,480.0,67.1933
9.7,485.0,66.6176
9.8,490.0,66.0748
9.9,495.0,65.5641
10.0,500.0,65.0803
10.1,505.0,64.6281
10.2,510.0,64.2073
10.3,515.0,63.818
10.4,520.0,63.4504
10.5,525.0,63.1114
10.6,530.0,62.7881
10.7,535.0,62.4841
10.8,540.0,62.1948
10.9,545.0,61.9162
11.0,550.0,61.6538
11.1,555.0,61.4014
11.2,560.0,61.1637
11.3,565.0,60.9369
11.4,570.0,60.7177
11.5,575.0,60.5075
11.6,580.0,60.3073
11.7,585.0,60.1171
11.8,590.0,59.9325
11.9,595.0,59.7553
12.0,600.0,59.5886
12.1,605.0,59.429
12.2,610.0,59.2716
12.3,615.0,59.1186
12.4,620.0,58.9743
12.5,625.0,58.8321
12.6,630.0,58.6887
12.7,635.0,58.5536
12.8,640.0,58.4216
12.9,645.0,58.2887
13.0,650.0,58.1581
13.1,655.0,58.034
13.2,660.0,57.9105
13.3,665.0,57.7886
13.4,670.0,57.6675
13.5,675.0,57.5467
13.6,680.0,57.4281
13.7,685.0,57.3118
13.8,690.0,57.2002
13.9,695.0,57.0867
14.0,700.0,56.9768
14.1,705.0,56.8653
14.2,710.0,56.7567
14.3,715.0,56.6494
14.4,720.0,56.5451
14.5,725.0,56.439
14.6,730.0,56.3322
14.7,735.0,56.227
14.8,740.0,56.1237
14.9,745.0,56.0202
15.0,750.0,55.9193
15.1,755.0,55.8171
15.2,760.0,55.7142
15.3,765.0,55.6113
15.4,770.0,55.5111
15.5,775.0,55.4089
15.6,780.0,55.3046
15.7,785.0,55.2021
15.8,790.0,55.1004
15.9,795.0,54.9987
16.0,800.0,54.8976
16.1,805.0,54.7938
16.2,810.0,54.6869
16.3,815.0,54.5818
16.4,820.0,54.4768
16.5,825.0,54.371
16.6,830.0,54.2648
16.7,835.0,54.1571
16.8,840.0,54.0506
16.9,845.0,53.943
17.0,850.0,53.835
17.1,855.0,53.7267
17.2,860.0,53.6185
17.3,865.0,53.51
17.4,870.0,53.4027
17.5,875.0,53.293
17.6,880.0,53.1845
17.7,885.0,53.0745
17.8,890.0,52.9659
17.9,895.0,52.8578
18.0,900.0,52.7465
18.1,905.0,52.6378
18.2,910.0,52.5249
18.3,915.0,52.4161
18.4,920.0,52.3099
18.5,925.0,52.1978
18.6,930.0,52.0859
18.7,935.0,51.9749
18.8,940.0,51.8664
18.9,945.0,51.7578
19.0,950.0,51.6445
19.1,955.0,51.5345
19.2,960.0,51.4244
19.3,965.0,51.313
19.4,970.0,51.2007
19.5,975.0,51.091
19.6,980.0,50.9801
19.7,985.0,50.8707
19.8,990.0,50.7556
19.9,995.0,50.6468
20.0,1000.0,50.5372
20.1,1005.0,50.4287
20.2,1010.0,50.3171
20.3,1015.0,50.2074
20.4,1020.0,50.0975
20.5,1025.0,49.9899
20.6,1030.0,49.8815
20.7,1035.0,49.7727
20.8,1040.0,49.6634
20.9,1045.0,49.5537
21.0,1050.0,49.4464
21.1,1055.0,49.3391
21.2,1060.0,49.2337
21.3,1065.0,49.1242
21.4,1070.0,49.0193
21.5,1075.0,48.9142
21.6,1080.0,48.809
21.7,1085.0,48.7033
21.8,1090.0,48.6006
21.9,1095.0,48.4961
22.0,1100.0,48.3922
22.1,1105.0,48.2892
22.2,1110.0,48.186
22.3,1115.0,48.0862
22.4,1120.0,47.9813
22.5,1125.0,47.8813
22.6,1130.0,47.7807
22.7,1135.0,47.68
22.8,1140.0,47.578
22.9,1145.0,47.4785
23.0,1150.0,47.378
