Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
24.4,1220.0,29.2809
24.5,1225.0,29.1688
24.6,1230.0,29.0558
24.7,1235.0,28.9448
24.8,1240.0,28.8344
24.9,1245.0,28.7266
25.0,1250.0,28.62
25.1,1255.0,28.5151
25.2,1260.0,28.414
25.3,1265.0,28.3148
25.4,1270.0,28.217
25.5,1275.0,28.1152
25.6,1280.0,28.0181
25.7,1285.0,27.9228
25.8,1290.0,27.8287
25.9,1295.0,27.7339
26.0,1300.0,27.6385
26.1,1305.0,27.5404
26.2,1310.0,27.445
26.3,1315.0,27.3537
26.4,1320.0,27.2623
26.5,1325.0,27.1729
26.6,1330.0,27.0805
26.7,1335.0,26.986
26.8,1340.0,26.8837
26.9,1345.0,26.7883
27.0,1350.0,26.6958
27.1,1355.0,26.6019
27.2,1360.0,26.5101
27.3,1365.0,26.4185
27.4,1370.0,26.3236
27.5,1375.0,26.2254
27.6,1380.0,26.1272
27.7,1385.0,26.0298
27.8,1390.0,25.9337
27.9,1395.0,25.8404
28.0,1400.0,25.7466
28.1,1405.0,25.6522
28.2,1410.0,25.5564
28.3,1415.0,25.4569
28.4,1420.0,25.3581
28.5,1425.0,25.2618
28.6,1430.0,25.1649
28.7,1435.0,25.0689
28.8,1440.0,24.9734
28.9,1445.0,24.8771
29.0,1450.0,24.78
29.1,1455.0,24.6819
29.2,1460.0,24.5804
29.3,1465.0,24.4827
29.4,1470.0,24.3841
29.5,1475.0,24.2852
29.6,1480.0,24.1866
29.7,1485.0,24.0884
29.8,1490.0,23.9891
29.9,1495.0,23.8899
30.0,1500.0,23.7905
30.1,1505.0,23.69
30.2,1510.0,23.591
30.3,1515.0,23.4922
30.4,1520.0,23.3928
30.5,1525.0,23.2955
30.6,1530.0,23.1966
30.7,1535.0,23.0979
30.8,1540.0,23.0012
30.9,1545.0,22.9042
31.0,1550.0,22.8101
31.1,1555.0,22.7174
31.2,1560.0,22.6237
31.3,1565.0,22.5324
31.4,1570.0,22.4414
31.5,1575.0,22.351
31.6,1580.0,22.2627
31.7,1585.0,22.1751
31.8,1590.0,22.0868
31.9,1595.0,22.0006
32.0,1600.0,21.9147
32.1,1605.0,21.83
32.2,1610.0,21.746
32.3,1615.0,21.6633
32.4,1620.0,21.5803
32.5,1625.0,21.5008
32.6,1630.0,21.4207
32.7,1635.0,21.3411
32.8,1640.0,21.2631
32.9,1645.0,21.185
33.0,1650.0,21.1087
33.1,1655.0,21.0343
33.2,1660.0,20.9602
33.3,1665.0,20.887
33.4,1670.0,20.8144
33.5,1675.0,20.743
33.6,1680.0,20.6736
33.7,1685.0,20.604
33.8,1690.0,20.5351
33.9,1695.0,20.4666
34.0,1700.0,20.3989
34.1,1705.0,20.3322
34.2,1710.0,20.2661
34.3,1715.0,20.2003
34.4,1720.0,20.1352
34.5,1725.0,20.0702
34.6,1730.0,20.006
34.7,1735.0,19.942
34.8,1740.0,19.8794
34.9,1745.0,19.8178
35.0,1750.0,19.756
35.1,1755.0,19.6949
35.2,1760.0,19.6338
35.3,1765.0,19.5738
35.4,1770.0,19.5139
35.5,1775.0,19.454
35.6,1780.0,19.394
35.7,1785.0,19.3346
35.8,1790.0,19.275
35.9,1795.0,19.2156
36.0,1800.0,19.1566
36.1,1805.0,19.0983
36.2,1810.0,19.04
36.3,1815.0,18.9827
36.4,1820.0,18.9261
36.5,1825.0,18.8692
36.6,1830.0,18.813
36.7,1835.0,18.7572
36.8,1840.0,18.7016
36.9,1845.0,18.6464
37.0,1850.0,18.5916
37.1,1855.0,18.5373
37.2,1860.0,18.4829
37.3,1865.0,18.4292
37.4,1870.0,18.3751
37.5,1875.0,18.3213
37.6,1880.0,18.2679
37.7,1885.0,18.2148
37.8,1890.0,18.162
37.9,1895.0,18.1095
38.0,1900.0,18.0577
38.1,1905.0,18.0058
38.2,1910.0,17.9541
38.3,1915.0,17.9028
38.4,1920.0,17.8516
38.5,1925.0,17.8009
38.6,1930.0,17.75
38.7,1935.0,17.6994
38.8,1940.0,17.6489
38.9,1945.0,17.5988
39.0,1950.0,17.5491
39.1,1955.0,17.4997
39.2,1960.0,17.4506
39.3,1965.0,17.4017
39.4,1970.0,17.3531
39.5,1975.0,17.3048
39.6,1980.0,17.2567
39.7,1985.0,17.209
39.8,1990.0,17.1614
39.9,1995.0,17.114
40.0,2000.0,17.0666
40.1,2005.0,17.0195
40.2,2010.0,16.9725
40.3,2015.0,16.9256
40.4,2020.0,16.879
40.5,2025.0,16.8326
40.6,2030.0,16.7862
40.7,2035.0,16.7399
40.8,2040.0,16.6937
40.9,2045.0,16.6476
41.0,2050.0,16.6016
41.1,2055.0,16.5558
41.2,2060.0,16.5101
41.3,2065.0,16.4647
41.4,2070.0,16.4195
41.5,2075.0,16.3745
41.6,2080.0,16.3296
41.7,2085.0,16.2846
41.8,2090.0,16.2398
41.9,2095.0,16.195
42.0,2100.0,16.1503
42.1,2105.0,16.1058
42.2,2110.0,16.0614
42.3,2115.0,16.0172
42.4,2120.0,15.973
42.5,2125.0,15.9291
42.6,2130.0,15.8852
42.7,2135.0,15.8413
42.8,2140.0,15.7977
42.9,2145.0,15.7543
43.0,2150.0,15.7109
43.1,2155.0,15.6677
43.2,2160.0,15.6245
43.3,2165.0,15.5814
43.4,2170.0,15.5384
43.5,2175.0,15.4954
43.6,2180.0,15.4523
43.7,2185.0,15.4093
43.8,2190.0,15.3663
43.9,2195.0,15.3234
44.0,2200.0,15.2807
44.1,2205.0,15.238
44.2,2210.0,15.1953
44.3,2215.0,15.1525
44.4,2220.0,15.1097
44.5,2225.0,15.0669
44.6,2230.0,15.0243
44.7,2235.0,14.9812
44.8,2240.0,14.938
44.9,2245.0,14.895
45.0,2250.0,14.8519
45.1,2255.0,14.8083
45.2,2260.0,14.7647
45.3,2265.0,14.7212
45.4,2270.0,14.6778
45.5,2275.0,14.6337
45.6,2280.0,14.5898
45.7,2285.0,14.5463
45.8,2290.0,14.5026
45.9,2295.0,14.4557
46.0,2300.0,14.4113
46.1,2305.0,14.3673
46.2,2310.0,14.3215
46.3,2315.0,14.2761
46.4,2320.0,14.2323
46.5,2325.0,14.1859
46.6,2330.0,14.1401
46.7,2335.0,14.094
46.8,2340.0,14.0489
46.9,2345.0,14.0046
47.0,2350.0,13.9602
47.1,2355.0,13.9153
47.2,2360.0,13.8704
47.3,2365.0,13.8234
47.4,2370.0,13.7771
47.5,2375.0,13.7324
47.6,2380.0,13.6872
47.7,2385.0,13.6429
47.8,2390.0,13.6
47.9,2395.0,13.5576
48.0,2400.0,13.5159
48.1,2405.0,13.4743
48.2,2410.0,13.4302
48.3,2415.0,13.3883
48.4,2420.0,13.3473
48.5,2425.0,13.3077
48.6,2430.0,13.2689
48.7,2435.0,13.2312
48.8,2440.0,13.1936
