Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,99.9866
4.8,240.0,99.9043
4.9,245.0,99.7627
5.0,250.0,99.5708
5.1,255.0,99.3275
5.2,260.0,99.0274
5.3,265.0,98.6717
5.4,270.0,98.2628
5.5,275.0,97.8133
5.6,280.0,97.3274
5.7,285.0,96.8125
5.8,290.0,96.2669
5.9,295.0,95.6954
6.0,300.0,95.0951
6.1,305.0,94.4633
6.2,310.0,93.7942
6.3,315.0,93.0939
6.4,320.0,92.3705
6.5,325.0,91.6324
6.6,330.0,90.8831
6.7,335.0,90.1255
6.8,340.0,89.3648
6.9,345.0,88.6044
7.0,350.0,87.8451
7.1,355.0,87.0918
7.2,360.0,86.3454
7.3,365.0,85.6092
7.4,370.0,84.8829
7.5,375.0,84.1699
7.6,380.0,83.4721
7.7,385.0,82.7928
7.8,390.0,82.1312
7.9,395.0,81.4855
8.0,400.0,80.8538
8.1,405.0,80.2353
8.2,410.0,79.6289
8.3,415.0,79.0346
8.4,420.0,78.4504
8.5,425.0,77.8755
8.6,430.0,77.3089
8.7,435.0,76.7499
8.8,440.0,76.1985
8.9,445.0,75.6564
9.0,450.0,75.1221
9.1,455.0,74.5952
9.2,460.0,74.0749
9.3,465.0,73.5605
9.4,470.0,73.0537
9.5,475.0,72.5517
9.6,480.0,72.0535
9.7,485.0,71.558
9.8,490.0,71.0659
9.9,495.0,70.5765
10.0,500.0,70.0904
10.1,505.0,69.6059
10.2,510.0,69.1269
10.3,515.0,68.6472
10.4,520.0,68.1707
10.5,525.0,67.6971
10.6,530.0,67.2237
10.7,535.0,66.7565
10.8,540.0,66.2914
10.9,545.0,65.8283
11.0,550.0,65.369
11.1,555.0,64.9118
11.2,560.0,64.4639
11.3,565.0,64.0176
11.4,570.0,63.5747
11.5,575.0,63.1385
11.6,580.0,62.7036
11.7,585.0,62.2708
11.8,590.0,61.8514
11.9,595.0,61.4367
12.0,600.0,61.0242
12.1,605.0,60.6175
12.2,610.0,60.219
12.3,615.0,59.8207
12.4,620.0,59.4271
12.5,625.0,59.0449
12.6,630.0,58.6692
12.7,635.0,58.2872
12.8,640.0,57.9191
12.9,645.0,57.5546
13.0,650.0,57.1835
13.1,655.0,56.817
13.2,660.0,56.4565
13.3,665.0,56.0985
13.4,670.0,55.7485
13.5,675.0,55.3957
13.6,680.0,55.0449
13.7,685.0,54.6968
13.8,690.0,54.3383
13.9,695.0,54.0005
14.0,700.0,53.6523
14.1,705.0,53.3089
14.2,710.0,52.9825
14.3,715.0,52.6591
14.4,720.0,52.3237
14.5,725.0,51.9952
14.6,730.0,51.6798
14.7,735.0,51.3697
14.8,740.0,51.0515
14.9,745.0,50.7428
15.0,750.0,50.437
15.1,755.0,50.141
15.2,760.0,49.8452
15.3,765.0,49.553
15.4,770.0,49.2619
15.5,775.0,48.9745
15.6,780.0,48.6833
15.7,785.0,48.4064
15.8,790.0,48.129
15.9,795.0,47.8538
16.0,800.0,47.5726
16.1,805.0,47.3008
16.2,810.0,47.0262
16.3,815.0,46.762
16.4,820.0,46.4952
16.5,825.0,46.2364
16.6,830.0,45.9716
16.7,835.0,45.7093
16.8,840.0,45.4541
16.9,845.0,45.2005
17.0,850.0,44.9515
17.1,855.0,44.7063
17.2,860.0,44.4452
17.3,865.0,44.2026
17.4,870.0,43.9564
17.5,875.0,43.7178
17.6,880.0,43.4709
17.7,885.0,43.2372
17.8,890.0,43.003
17.9,895.0,42.7769
18.0,900.0,42.5435
18.1,905.0,42.3171
18.2,910.0,42.0989
18.3,915.0,41.8735
18.4,920.0,41.6575
18.5,925.0,41.4418
18.6,930.0,41.22
18.7,935.0,40.9971
18.8,940.0,40.781
18.9,945.0,40.5814
19.0,950.0,40.365
19.1,955.0,40.1542
19.2,960.0,39.9419
19.3,965.0,39.7353
19.4,970.0,39.529
19.5,975.0,39.3285
19.6,980.0,39.1281
19.7,985.0,38.9207
19.8,990.0,38.7119
19.9,995.0,38.5061
20.0,1000.0,38.2976
20.1,1005.0,38.0936
20.2,1010.0,37.8916
20.3,1015.0,37.6935
20.4,1020.0,37.4848
20.5,1025.0,37.2822
20.6,1030.0,37.0846
20.7,1035.0,36.8857
20.8,1040.0,36.6884
20.9,1045.0,36.4849
21.0,1050.0,36.2944
21.1,1055.0,36.0904
21.2,1060.0,35.8918
21.3,1065.0,35.7079
21.4,1070.0,35.5215
21.5,1075.0,35.3328
21.6,1080.0,35.1528
21.7,1085.0,34.9658
21.8,1090.0,34.785
21.9,1095.0,34.6159
22.0,1100.0,34.4386
22.1,1105.0,34.2629
22.2,1110.0,34.0984
22.3,1115.0,33.9319
22.4,1120.0,33.755
22.5,1125.0,33.6036
22.6,1130.0,33.4569
22.7,1135.0,33.2981
22.8,1140.0,33.1411
22.9,1145.0,32.9966
