Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,99.9975
5.2,260.0,99.9613
5.3,265.0,99.8771
5.4,270.0,99.7567
5.5,275.0,99.6039
5.6,280.0,99.4214
5.7,285.0,99.2092
5.8,290.0,98.9673
5.9,295.0,98.6959
6.0,300.0,98.3997
6.1,305.0,98.0821
6.2,310.0,97.7455
6.3,315.0,97.3985
6.4,320.0,97.0403
6.5,325.0,96.6719
6.6,330.0,96.2965
6.7,335.0,95.9163
6.8,340.0,95.5298
6.9,345.0,95.1465
7.0,350.0,94.7625
7.1,355.0,94.3761
7.2,360.0,93.9883
7.3,365.0,93.6002
7.4,370.0,93.2116
7.5,375.0,92.8279
7.6,380.0,92.4492
7.7,385.0,92.0742
7.8,390.0,91.7077
7.9,395.0,91.3461
8.0,400.0,90.9936
8.1,405.0,90.6535
8.2,410.0,90.319
8.3,415.0,89.9983
8.4,420.0,89.6907
8.5,425.0,89.3917
8.6,430.0,89.1062
8.7,435.0,88.8286
8.8,440.0,88.5621
8.9,445.0,88.3063
9.0,450.0,88.0605
9.1,455.0,87.8219
9.2,460.0,87.591
9.3,465.0,87.3706
9.4,470.0,87.1577
9.5,475.0,86.9515
9.6,480.0,86.7496
9.7,485.0,86.5559
9.8,490.0,86.3644
9.9,495.0,86.178
10.0,500.0,86.0008
10.1,505.0,85.8254
10.2,510.0,85.6481
10.3,515.0,85.481
10.4,520.0,85.3174
10.5,525.0,85.1542
10.6,530.0,84.9904
10.7,535.0,84.8338
10.8,540.0,84.6794
10.9,545.0,84.5258
11.0,550.0,84.3716
11.1,555.0,84.2207
11.2,560.0,84.071
11.3,565.0,83.924
11.4,570.0,83.7771
11.5,575.0,83.632
11.6,580.0,83.4892
11.7,585.0,83.3493
11.8,590.0,83.2111
11.9,595.0,83.074
12.0,600.0,82.9398
12.1,605.0,82.8064
12.2,610.0,82.6741
12.3,615.0,82.5434
12.4,620.0,82.4146
12.5,625.0,82.2871
12.6,630.0,82.1628
12.7,635.0,82.0404
12.8,640.0,81.919
12.9,645.0,81.7997
13.0,650.0,81.6824
13.1,655.0,81.5673
13.2,660.0,81.4548
13.3,665.0,81.3445
13.4,670.0,81.2359
13.5,675.0,81.1301
13.6,680.0,81.0258
13.7,685.0,80.9222
13.8,690.0,80.8204
13.9,695.0,80.7205
14.0,700.0,80.6215
14.1,705.0,80.5182
14.2,710.0,80.4168
14.3,715.0,80.3181
14.4,720.0,80.2197
14.5,725.0,80.1243
14.6,730.0,80.0282
14.7,735.0,79.935
14.8,740.0,79.8391
14.9,745.0,79.7439
15.0,750.0,79.646
15.1,755.0,79.5483
15.2,760.0,79.4511
15.3,765.0,79.3518
15.4,770.0,79.2508
15.5,775.0,79.1445
15.6,780.0,79.0411
15.7,785.0,78.9337
15.8,790.0,78.8212
15.9,795.0,78.7083
16.0,800.0,78.5953
16.1,805.0,78.4802
16.2,810.0,78.3671
16.3,815.0,78.2513
16.4,820.0,78.1321
16.5,825.0,78.0089
16.6,830.0,77.8835
16.7,835.0,77.7562
16.8,840.0,77.6309
16.9,845.0,77.4994
17.0,850.0,77.3616
17.1,855.0,77.2235
17.2,860.0,77.0801
17.3,865.0,76.9392
17.4,870.0,76.7984
17.5,875.0,76.6499
17.6,880.0,76.5028
17.7,885.0,76.3543
17.8,890.0,76.2062
17.9,895.0,76.0563
18.0,900.0,75.8991
18.1,905.0,75.7428
18.2,910.0,75.5842
18.3,915.0,75.4201
18.4,920.0,75.2509
18.5,925.0,75.0823
18.6,930.0,74.9108
18.7,935.0,74.7334
18.8,940.0,74.55
18.9,945.0,74.3774
19.0,950.0,74.198
19.1,955.0,74.0202
19.2,960.0,73.8361
19.3,965.0,73.6462
19.4,970.0,73.4516
19.5,975.0,73.2574
19.6,980.0,73.0677
19.7,985.0,72.8649
19.8,990.0,72.6569
19.9,995.0,72.4438
20.0,1000.0,72.2216
20.1,1005.0,71.9975
20.2,1010.0,71.7684
20.3,1015.0,71.532
20.4,1020.0,71.2844
20.5,1025.0,71.0292
20.6,1030.0,70.7678
20.7,1035.0,70.4897
20.8,1040.0,70.2145
20.9,1045.0,69.9382
21.0,1050.0,69.6601
21.1,1055.0,69.3921
21.2,1060.0,69.1175
21.3,1065.0,68.8415
21.4,1070.0,68.556
21.5,1075.0,68.2749
21.6,1080.0,67.9893
21.7,1085.0,67.6995
21.8,1090.0,67.4015
21.9,1095.0,67.1092
22.0,1100.0,66.8048
22.1,1105.0,66.5064
22.2,1110.0,66.2081
22.3,1115.0,65.9138
22.4,1120.0,65.6076
22.5,1125.0,65.3015
22.6,1130.0,64.9924
22.7,1135.0,64.6862
22.8,1140.0,64.367
22.9,1145.0,64.0458
