Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,99.9997
5.2,260.0,99.9752
5.3,265.0,99.8984
5.4,270.0,99.7801
5.5,275.0,99.6271
5.6,280.0,99.4419
5.7,285.0,99.2269
5.8,290.0,98.9789
5.9,295.0,98.6962
6.0,300.0,98.3834
6.1,305.0,98.0427
6.2,310.0,97.6776
6.3,315.0,97.2926
6.4,320.0,96.8916
6.5,325.0,96.4781
6.6,330.0,96.0539
6.7,335.0,95.6212
6.8,340.0,95.1829
6.9,345.0,94.741
7.0,350.0,94.2966
7.1,355.0,93.8479
7.2,360.0,93.3963
7.3,365.0,92.9438
7.4,370.0,92.4941
7.5,375.0,92.0466
7.6,380.0,91.6041
7.7,385.0,91.1659
7.8,390.0,90.7383
7.9,395.0,90.3189
8.0,400.0,89.9092
8.1,405.0,89.5098
8.2,410.0,89.1221
8.3,415.0,88.7483
8.4,420.0,88.3888
8.5,425.0,88.042
8.6,430.0,87.7085
8.7,435.0,87.3865
8.8,440.0,87.0755
8.9,445.0,86.7754
9.0,450.0,86.4863
9.1,455.0,86.2076
9.2,460.0,85.9402
9.3,465.0,85.6823
9.4,470.0,85.4323
9.5,475.0,85.1908
9.6,480.0,84.9557
9.7,485.0,84.729
9.8,490.0,84.5087
9.9,495.0,84.294
10.0,500.0,84.0857
10.1,505.0,83.8827
10.2,510.0,83.6851
10.3,515.0,83.4917
10.4,520.0,83.3029
10.5,525.0,83.1186
10.6,530.0,82.9374
10.7,535.0,82.7605
10.8,540.0,82.5868
10.9,545.0,82.4157
11.0,550.0,82.2472
11.1,555.0,82.0811
11.2,560.0,81.918
11.3,565.0,81.7577
11.4,570.0,81.5994
11.5,575.0,81.4432
11.6,580.0,81.2909
11.7,585.0,81.1405
11.8,590.0,80.9927
11.9,595.0,80.847
12.0,600.0,80.7024
12.1,605.0,80.559
12.2,610.0,80.4176
12.3,615.0,80.2775
12.4,620.0,80.1389
12.5,625.0,80.0017
12.6,630.0,79.866
12.7,635.0,79.7313
12.8,640.0,79.5985
12.9,645.0,79.4674
13.0,650.0,79.3367
13.1,655.0,79.2069
13.2,660.0,79.0776
13.3,665.0,78.9513
13.4,670.0,78.8262
13.5,675.0,78.7029
13.6,680.0,78.5808
13.7,685.0,78.4599
13.8,690.0,78.3411
13.9,695.0,78.224
14.0,700.0,78.1092
14.1,705.0,77.9952
14.2,710.0,77.8799
14.3,715.0,77.7634
14.4,720.0,77.6502
14.5,725.0,77.5379
14.6,730.0,77.4255
14.7,735.0,77.3107
14.8,740.0,77.1968
14.9,745.0,77.0868
15.0,750.0,76.973
15.1,755.0,76.8576
15.2,760.0,76.743
15.3,765.0,76.6277
15.4,770.0,76.5148
15.5,775.0,76.4034
15.6,780.0,76.2896
15.7,785.0,76.1719
15.8,790.0,76.0549
15.9,795.0,75.937
16.0,800.0,75.8165
16.1,805.0,75.6945
16.2,810.0,75.5721
16.3,815.0,75.4445
16.4,820.0,75.3147
16.5,825.0,75.1861
16.6,830.0,75.0556
16.7,835.0,74.9259
16.8,840.0,74.797
16.9,845.0,74.6636
17.0,850.0,74.5269
17.1,855.0,74.3812
17.2,860.0,74.2298
17.3,865.0,74.0768
17.4,870.0,73.9239
17.5,875.0,73.7633
17.6,880.0,73.6075
17.7,885.0,73.4481
17.8,890.0,73.2861
17.9,895.0,73.1142
18.0,900.0,72.9533
18.1,905.0,72.7834
18.2,910.0,72.6142
18.3,915.0,72.4455
18.4,920.0,72.276
18.5,925.0,72.1084
18.6,930.0,71.9284
18.7,935.0,71.7531
18.8,940.0,71.5776
18.9,945.0,71.4055
19.0,950.0,71.2273
19.1,955.0,71.051
19.2,960.0,70.8694
19.3,965.0,70.6785
19.4,970.0,70.4914
19.5,975.0,70.3076
19.6,980.0,70.1211
19.7,985.0,69.9269
19.8,990.0,69.7401
19.9,995.0,69.5486
20.0,1000.0,69.3529
20.1,1005.0,69.156
20.2,1010.0,68.9586
20.3,1015.0,68.7613
20.4,1020.0,68.5637
20.5,1025.0,68.3622
20.6,1030.0,68.1632
20.7,1035.0,67.9574
20.8,1040.0,67.7396
20.9,1045.0,67.5337
21.0,1050.0,67.3235
21.1,1055.0,67.1033
21.2,1060.0,66.8842
21.3,1065.0,66.6624
21.4,1070.0,66.4479
21.5,1075.0,66.2205
21.6,1080.0,65.9969
21.7,1085.0,65.7744
21.8,1090.0,65.5427
21.9,1095.0,65.3063
22.0,1100.0,65.069
22.1,1105.0,64.8239
22.2,1110.0,64.5747
22.3,1115.0,64.3307
22.4,1120.0,64.0822
22.5,1125.0,63.8152
22.6,1130.0,63.5632
22.7,1135.0,63.3128
22.8,1140.0,63.0523
22.9,1145.0,62.7882
