Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,99.9825
3.4,170.0,99.8479
3.5,175.0,99.5954
3.6,180.0,99.2526
3.7,185.0,98.844
3.8,190.0,98.382
3.9,195.0,97.8899
4.0,200.0,97.379
4.1,205.0,96.8622
4.2,210.0,96.3466
4.3,215.0,95.837
4.4,220.0,95.3459
4.5,225.0,94.8794
4.6,230.0,94.4376
4.7,235.0,94.0188
4.8,240.0,93.6223
4.9,245.0,93.2478
5.0,250.0,92.8933
5.1,255.0,92.5549
5.2,260.0,92.2296
5.3,265.0,91.9152
5.4,270.0,91.6039
5.5,275.0,91.2818
5.6,280.0,90.9409
5.7,285.0,90.5705
5.8,290.0,90.1539
5.9,295.0,89.6782
6.0,300.0,89.1284
6.1,305.0,88.502
6.2,310.0,87.7893
6.3,315.0,86.9911
6.4,320.0,86.1187
6.5,325.0,85.1707
6.6,330.0,84.153
6.7,335.0,83.0681
6.8,340.0,81.9324
6.9,345.0,80.7687
7.0,350.0,79.5937
7.1,355.0,78.4163
7.2,360.0,77.2451
7.3,365.0,76.0899
7.4,370.0,74.962
7.5,375.0,73.8626
7.6,380.0,72.7906
7.7,385.0,71.7502
7.8,390.0,70.7391
7.9,395.0,69.7503
8.0,400.0,68.7951
8.1,405.0,67.8749
8.2,410.0,66.993
8.3,415.0,66.1508
8.4,420.0,65.3433
8.5,425.0,64.5662
8.6,430.0,63.8196
8.7,435.0,63.1004
8.8,440.0,62.4042
8.9,445.0,61.7251
9.0,450.0,61.0673
9.1,455.0,60.4248
9.2,460.0,59.8011
9.3,465.0,59.1997
9.4,470.0,58.6214
9.5,475.0,58.0609
9.6,480.0,57.5209
9.7,485.0,57.0006
9.8,490.0,56.499
9.9,495.0,56.0192
10.0,500.0,55.5528
10.1,505.0,55.1046
10.2,510.0,54.6679
10.3,515.0,54.2462
10.4,520.0,53.8468
10.5,525.0,53.4585
10.6,530.0,53.081
10.7,535.0,52.7266
10.8,540.0,52.3763
10.9,545.0,52.0415
11.0,550.0,51.7225
11.1,555.0,51.4153
11.2,560.0,51.1096
11.3,565.0,50.8241
11.4,570.0,50.5495
11.5,575.0,50.2819
11.6,580.0,50.0214
11.7,585.0,49.7692
11.8,590.0,49.5277
11.9,595.0,49.2917
12.0,600.0,49.0635
12.1,605.0,48.8449
12.2,610.0,48.633
12.3,615.0,48.4272
12.4,620.0,48.2293
12.5,625.0,48.0352
12.6,630.0,47.8498
12.7,635.0,47.6708
12.8,640.0,47.5004
12.9,645.0,47.328
13.0,650.0,47.1629
13.1,655.0,47.003
13.2,660.0,46.8465
13.3,665.0,46.6909
13.4,670.0,46.5378
13.5,675.0,46.3909
13.6,680.0,46.2451
13.7,685.0,46.0997
13.8,690.0,45.9567
13.9,695.0,45.8174
14.0,700.0,45.6797
14.1,705.0,45.5436
14.2,710.0,45.4102
14.3,715.0,45.2798
14.4,720.0,45.1506
14.5,725.0,45.0235
14.6,730.0,44.8985
14.7,735.0,44.7766
14.8,740.0,44.6546
14.9,745.0,44.5354
15.0,750.0,44.417
15.1,755.0,44.2992
15.2,760.0,44.1822
15.3,765.0,44.0659
15.4,770.0,43.9488
15.5,775.0,43.8332
15.6,780.0,43.7178
15.7,785.0,43.6044
15.8,790.0,43.4921
15.9,795.0,43.3801
16.0,800.0,43.2648
16.1,805.0,43.1501
16.2,810.0,43.0358
16.3,815.0,42.9216
16.4,820.0,42.8054
16.5,825.0,42.6914
16.6,830.0,42.5776
16.7,835.0,42.4634
16.8,840.0,42.3509
16.9,845.0,42.2359
17.0,850.0,42.1209
17.1,855.0,42.0062
17.2,860.0,41.8907
17.3,865.0,41.7745
17.4,870.0,41.659
17.5,875.0,41.543
17.6,880.0,41.429
17.7,885.0,41.3125
17.8,890.0,41.1969
17.9,895.0,41.0813
18.0,900.0,40.9661
18.1,905.0,40.8532
18.2,910.0,40.7416
18.3,915.0,40.6286
18.4,920.0,40.5145
18.5,925.0,40.4007
18.6,930.0,40.2877
18.7,935.0,40.1781
18.8,940.0,40.0676
18.9,945.0,39.9569
19.0,950.0,39.847
19.1,955.0,39.7363
19.2,960.0,39.6242
19.3,965.0,39.5128
19.4,970.0,39.4034
19.5,975.0,39.2949
19.6,980.0,39.1885
19.7,985.0,39.0837
19.8,990.0,38.9779
19.9,995.0,38.874
20.0,1000.0,38.77
20.1,1005.0,38.6672
20.2,1010.0,38.566
20.3,1015.0,38.4648
20.4,1020.0,38.3639
20.5,1025.0,38.264
20.6,1030.0,38.1646
20.7,1035.0,38.0659
20.8,1040.0,37.9676
20.9,1045.0,37.8687
21.0,1050.0,37.7689
21.1,1055.0,37.6692
21.2,1060.0,37.5718
21.3,1065.0,37.4743
21.4,1070.0,37.3785
21.5,1075.0,37.2841
21.6,1080.0,37.1901
21.7,1085.0,37.0971
21.8,1090.0,37.0047
21.9,1095.0,36.9111
22.0,1100.0,36.8192
22.1,1105.0,36.7279
22.2,1110.0,36.636
22.3,1115.0,36.5445
22.4,1120.0,36.4526
22.5,1125.0,36.3616
22.6,1130.0,36.2721
22.7,1135.0,36.1835
22.8,1140.0,36.0944
22.9,1145.0,36.0069
